exp_id,area,hypothesis,control,variant,primary_metric,guardrail_metric,required_events,min_runtime_days,sample_size_note,stop_condition,risk,method
E01-tutorial-do-first,tutorial,"Replacing text-card hints in L1-L3 with a zero-text ghost-hand demo raises tutorial completion from ~80% to >=88% without hurting L4-L5 comprehension","3-level teach with short text hints (tutorial_started variant=text_v1)","Zero-text ghost-hand demonstration on the same 3 levels (variant=ghost_v1)",tutorial_completed rate within first session,L4-L5 level_failed rate (comprehension proxy),"first_open,tutorial_started,tutorial_step,tutorial_completed,level_failed",7,"~400/arm to detect +8pp on 80% base at 80% power - not reachable pre-launch; pre-launch read = 12 closed testers observed; post-launch needs ~1 wk at 120+ installs/day","stop if any arm <60% tutorial completion after 100 users, or L5 fail rate rises >10pp",low,"Pre-launch: moderated usability with the 12 closed testers (sequential builds). Post-launch: remote-config A/B only if >2k installs/wk; otherwise sequential build-over-build, directional"
E02-session-next-route,session_length_pacing,"A 1-tap Next Route button on the win screen lifts levels/session from ~4 to >=5 without pushing median session past 8 min (45-90s levels per locked spec)",Win screen returns to district map,Win screen shows inline Next Route button that queues the next level,levels per session (level_started count per session_id),median session length; level_quit rate,"app_open,level_started,level_completed,level_quit",7,"within-user metric, so ~300 users/arm gives a directional read; true significance needs ~1k/arm - treat as directional","stop if median session exceeds 10 min or level_quit rate doubles (binge-then-churn signal)",low,"Sequential: ship variant in weekly build, compare week-over-week cohorts; not A/B-able at <5k users"
E03-ramp-l8-l12,difficulty_ramp,"Retuning L8-L12 so <=35% of players fail attempt 2 lifts L8-to-L12 funnel pass-through from ~55% to >=70% and supports D1 (~22% genre median per brief, GameAnalytics 2025)",Current solver-rated ramp as shipped,"Retuned L8-L12 band: wider queue capacity plus one extra preview wave",L8-to-L12 funnel pass-through within 48h of first L8 start,perfect-clear rate on L8-L12 (>60% = too easy); session length,"level_started,level_failed,level_completed,level_quit",7,"funnel read stabilizes at ~200 players entering L8 - reachable week 1 post-launch at modest installs","stop retune if perfect-clear rate exceeds 60% (boredom) or pass-through drops vs control period",medium - touches core feel,"Sequential level retune driven by failure funnel + replay logs; never A/B (levels are shared content); validate with 5-tester replay before shipping"
E04-reward-milestone,reward_cadence,"An always-visible progress bar toward the 600-ticket cosmetic (vs balance hidden in shop) lifts D7 from ~4% median toward 6% and raises ticket_spent rate; earn stays inside locked 20-50/level band",Ticket balance visible only in shop; earn 20-50/level per locked economy,Same earn rates plus persistent progress bar to next 600-ticket cosmetic on the map screen,D7 retention of new-install cohort,median balance_after (inflation check); cosmetic_unlocked via tickets rate,"ticket_earned,ticket_spent,cosmetic_unlocked,app_open",14,"D7 at ~4% base needs thousands/arm for significance - directional only; compare trend across 2 weekly cohorts","stop if D7 trend worsens 2 cohorts running or median balance drifts above 1500 (sink too weak)",low,"Sequential weekly-cohort comparison; all numbers stay inside locked 20-50 earn and 600-1200 sink bands"
E05-daily-first-prompt,daily_challenge_timing,"Prompting the Daily Line immediately after the L7 unlock (vs surfacing it next session) lifts 24h daily_started rate from ~40% to >=55%",Daily card appears on map at next session after daily_unlocked,Celebratory unlock screen with Play Today's Line CTA immediately after the L7 win,daily_started within 24h of daily_unlocked,session continuation after prompt (level_started next); prompt dismissal rate,"daily_unlocked,daily_started,daily_completed,level_started",7,"~250/arm detects +15pp on a 40% base - feasible around week 2 post-launch at 100+ installs/day","stop if post-prompt session abandonment rises >5pp",low,"Remote-config A/B feasible (binary outcome, high base rate) once installs pass ~1.5k; before that sequential"
E06-paywall-first-exposure,paywall_timing,"The locked post-L5-win first exposure converts better than a later post-L8 exposure because celebration context beats deeper-investment context",First All Access paywall after L5 win (locked default; RC placement post_level_5),First exposure moved to post-L8 win using the same creative (placement config change only),purchase_completed(cm_all_access) per paywall_viewed,D1/D3 retention; share of paywall_dismissed under 2s (annoyance),"level_completed,paywall_viewed,paywall_dismissed,purchase_started,purchase_completed",14,"at ~2% view-to-purchase, detecting 1pp needs ~3.5k views/arm - not reachable in-window; read revenue per 1k installs directionally","stop if fast-dismiss exceeds 70% of views or D1 drops >3pp during variant period",medium - revenue-touching,"Sequential 7d+7d swap via RC Placements (server-side, no build); RC Experiments only if Pro plan confirmed (plan-gated per brief); directional at our scale"
E07-all-access-price,pricing_all_access,"cm_all_access at $6.99 yields >= revenue per 1k paywall views than $4.99 (margin offsets conversion), consistent with the brief's Grand-Prize revenue logic",cm_all_access offering at $6.99 (locked default),cm_all_access offering at $4.99,All Access revenue per 1k paywall_viewed,relative conversion collapse >50%; refund/complaint count via entitlement_changed(revoked),"paywall_viewed,purchase_started,purchase_completed,entitlement_changed",14,"revenue-per-view is high variance; at <5k users only a ~2x difference is readable - expect a directional answer, not significance","stop if either arm draws >=2 refund complaints or conversion falls below 0.5%","medium - price visibility; never show two prices simultaneously client-side","RC Experiments (server-side) if Pro plan verified - proper A/B; else sequential 7d+7d offering swap with day-of-week confound noted"
E08-supporter-shop-slot,supporter_pack_visibility,"Moving cm_supporter_pack to the top shop slot with Founder framing doubles its purchase rate without cannibalizing All Access; stays shop-only per locked decision",Supporter pack as bottom shop card,"Supporter pack as top card with Founder livery preview and name-a-cat callout, still shop-only, never interrupts",purchase_completed(cm_supporter_pack) per paywall_viewed(placement=shop),cm_all_access conversion from shop (cannibalization),"paywall_viewed,purchase_started,purchase_completed",14,"supporter purchases will be single digits at our scale - any signal is anecdote; decide on summed revenue, not rate","stop if All Access shop conversion drops >30% relative",low - shop-only surface per brief,"Sequential 7d+7d layout swap via remote config; explicitly not significance-testable - directional plus qualitative tester readback"
E09-ticket-cosmetic-price,cosmetic_pricing,"First earnable cosmetic at 600 tickets (vs 1000) drives more ticket-method cosmetic_unlocked and better D7 by giving a reachable early goal; IAP themes stay locked at $2.99",First earnable cosmetic priced 1000 tickets,First earnable cosmetic priced 600 tickets (both inside locked 600-1200 band),cosmetic_unlocked(method=tickets) per active user by day 7,ticket_spent depletion frustration (level_quit after zero balance); engagement with later 1200-tier items,"ticket_earned,ticket_spent,cosmetic_unlocked,cosmetic_equipped",14,"~300/arm for a directional unlock-rate read - feasible weeks 2-3 post-launch","stop if the 600 arm halves engagement with later 1200-tier cosmetics",low,"Server-driven catalog value A/B if installs >2k; otherwise sequential 7d+7d; cm_theme_sakura/cm_theme_neon prices are locked and not tested"
E10-rewind-offer-attempt,rewarded_placement_eligibility,"Offering the rewarded rewind from attempt 3 (vs attempt 2) cuts offer fatigue while keeping ad revenue; locked floor stands - never after first failure",Rewarded rewind offer eligible from 2nd failed attempt,Rewarded rewind offer eligible from 3rd failed attempt,rewarded_ad_completed(placement=rewind_failure) per DAU,level completion after repeated failure; level_quit on 3rd fail,"level_failed,ad_offer_viewed,ad_offer_declined,rewarded_ad_started,rewarded_ad_completed,rewind_used",7,"~500 eligible failure moments per arm for a stable accept-rate read; volume depends on ramp tuning - sequence after E03","stop if 3rd-fail level_quit rises >5pp in variant",medium - touches the frustration moment,"Sequential remote-config toggle 7d+7d; directional; pair with 5-user think-aloud on the failure sheet"
E11-double-tickets-value,ad_reward_value,"Raising double_tickets reward from 2x to 2x plus 20 bonus tickets lifts offer accept rate from ~30% to >=40% and net ad revenue per DAU without breaking the ticket economy",double_tickets rewarded ad grants 2x level tickets (3/day cap per locked spec),"2x plus flat 20 bonus tickets, same 3/day cap",ad_offer_viewed to rewarded_ad_completed accept rate on double_tickets,median balance_after (inflation); cosmetic sink engagement; All Access conversion,"ad_offer_viewed,rewarded_ad_started,rewarded_ad_completed,ticket_earned,ticket_spent",7,"accept rate is high-frequency: ~400 offers/arm gives a readable delta - feasible at DAU >200","stop if median balance drifts above 1500 or All Access conversion dips vs trailing baseline",low,"Remote-config value A/B feasible at modest DAU (high event frequency); else sequential; RC AdTracker revenue as secondary read"
E12-all-access-framing,remove_ads_framing,"Content-led headline (bonus district + themes forever) converts better than interruption-free-led framing because Cat Metro already ships with no forced ads; copy must never imply forced ads exist","Paywalls v2 post_level_5 headline 'The whole metro, forever' - content bullets first, fairness line last","Same paywall, headline 'Yours forever. Never an interruption.' - fairness line first, content bullets second",purchase_completed(cm_all_access) per paywall_viewed(placement=post_level_5),median paywall_dismissed view time; any review or complaint mentioning ads,"paywall_viewed,paywall_dismissed,purchase_started,purchase_completed",14,"same math as E07 - sub-1pp conversion deltas invisible at our n; run for direction plus 12-tester comprehension readback","stop immediately if any tester reads the copy as implying forced ads exist",medium - brand-promise adjacent,"RC Paywalls v2 variant swap: RC Experiments if Pro plan, else sequential 7d+7d; include comprehension question in pre-launch tester script"
