# POLICY (locked, DECISIONS_BRIEF 2026-07-31): ALL ad placements are rewarded/opt-in only. NO interstitials, NO banners, NO app-open ads at launch. This restraint IS the Catvertising entry: "ads only when the player asks." Ad SDK: Google Mobile Ads Unity plugin 11.3.0 (fallback AppLovin MAX 8.6.4). RevenueCat Ads (public beta; access requested Day 1) via manual AdTracker (purchases-unity 9.7.0; AdTracker requires 9.1.0+). Server-verified ad rewards unavailable in Unity -> all rewards granted client-side against our own ledger with the caps below. Analytics cross-ref: ad_offer_viewed/declined, rewarded_ad_started/completed/failed in analytics_event_taxonomy.csv.
placement_id,concept,reward,trigger,eligibility,frequency_cap,cooldown,player_usefulness_1to5,thematic_integration_1to5,interruptiveness_1to5_lower_better,revenue_potential_1to5,impl_effort_1to5,fraud_risk,rating_risk,catvertising_appeal_1to5,rc_adtracker_events,ad_sdk_needed,launch_priority
rewind_failure,"Conductor rewinds the train to the last safe decision tick, offered on the failure sheet AFTER owned/free options",1 rewind (applied immediately),"eligible failure sheet; option order owned > daily free > rewarded > purchase (cm_rewind_5 $1.99 / cm_rewind_20 $4.99 secondary)","attempt >=2 on the level (never after first failure per brief); daily free rewind already spent; owned rewind balance = 0",2/session; 5/day,none (caps govern),5,4,1,4,2,"medium: client-side grant (Unity has no server-side verification per brief); mitigations: local ledger + caps + reward granted only on onUserEarnedReward callback","low: opt-in rescue at the exact moment of frustration",5,TrackAdLoaded;TrackAdDisplayed;TrackAdOpened;TrackAdRevenue;TrackAdFailedToLoad,AdMob rewarded (Unity 11.3.0),P0
double_tickets,Conductor stamps your ticket twice: double the end-of-level ticket payout,"tickets equal to level payout (20-50, mirrors district scale)",results screen after a win (single quiet button; never a popup),"level won (fresh win, not replay); payout >=20; under daily cap",3/day,none (cap governs),4,4,1,4,2,"low: soft currency only, capped, no gameplay power","low: opt-in, post-win moment",4,TrackAdLoaded;TrackAdDisplayed;TrackAdOpened;TrackAdRevenue;TrackAdFailedToLoad,AdMob rewarded (Unity 11.3.0),P0
daily_gift_double,Double the daily gift parcel at the station kiosk,"tickets equal to today's gift (30-80, streak-scaled)",daily gift claim screen,"gift claimed today and not yet doubled",1/day,24h (local-midnight reset),3,4,1,3,1,"low: small capped soft-currency amounts","low",3,TrackAdLoaded;TrackAdDisplayed;TrackAdOpened;TrackAdRevenue;TrackAdFailedToLoad,AdMob rewarded (Unity 11.3.0),P0
streak_saver,Stationmaster holds the last train: restore a missed Daily Line streak,streak restored to pre-miss value,"streak-break detected on next launch / Daily Line screen","streak >=2; miss within last 48h; not saved in previous 24h; IAP streak saver is CUT per brief - rewarded/free only",1/day,24h,5,5,1,3,2,"low-medium: clock-tamper risk on local dates; mitigation: sanity-check device date vs RC request timestamps; ticket fallback (150) exists for ad no-fill","low: pure player-favor mechanic",4,TrackAdLoaded;TrackAdDisplayed;TrackAdOpened;TrackAdRevenue;TrackAdFailedToLoad,AdMob rewarded (Unity 11.3.0),P0
theme_rental,Try-before-you-buy: ride the next 3 levels in Sakura or Neon premium theme,selected premium theme active for 3 levels,"theme preview screen (RC placement theme_preview); after rental expiry show soft purchase CTA","theme not owned; no all_access/supporter entitlement; per-theme daily limit",1/theme/day (2 themes live = max 2/day),24h per theme,3,5,1,3,2,"low: time-boxed cosmetic, no economy impact","low",5,TrackAdLoaded;TrackAdDisplayed;TrackAdOpened;TrackAdRevenue;TrackAdFailedToLoad,AdMob rewarded (Unity 11.3.0),P0
bonus_gold_train,Gold bonus car couples onto your next train; deliver it without any platform overflow to keep the bonus,+40 tickets if the gold car is delivered cleanly,"pre-level offer chip on the map screen (one gentle pulse per session; never mid-level)","level 8+ campaign; not on Daily Line (keeps daily score integrity); under cap",2/day,4h,3,5,2,3,3,"low: bonus conditional on in-sim outcome, hard to farm","low: opt-in, adds one pre-level decision",5,TrackAdLoaded;TrackAdDisplayed;TrackAdOpened;TrackAdRevenue;TrackAdFailedToLoad (if built),AdMob rewarded (Unity 11.3.0),"P1: build Week 3-4 post-launch if P0 placements hold opt-in >=20%; flagship in-world mechanic for the Catvertising writeup"
station_billboard_takeover,Diegetic billboards inside station dioramas rotate sponsor/house creatives; tapping one plays an ad,15 tickets per tapped view,ambient in level/map scenery; player-initiated tap only,"level 10+; under cap",2/day,2h,2,5,2,1,5,"low: player-initiated","medium: paid branding inside the diorama dilutes the premium tabletop art direction (readability outranks beauty per brief)",4,"n/a at launch; standard 5 AdTracker calls if ever built","NONE viable: AdMob Unity plugin 11.3.0 has no native-ad support -> house/cross-promo creatives only","P2: revisit post-event as house-ad cross-promo surface; do not sell real inventory here"
ticket_inspector_bonus,Post-win ticket-inspector bonus round: watch an ad to board a 20s bonus car and tap-check tickets for extra pay,30-60 tickets from bonus round performance,results screen after a win,"level won; under cap",1/day,none,2,4,2,2,5,"medium: minigame score is client-only","low",3,n/a (cut),AdMob rewarded (Unity 11.3.0),"Cut: duplicates double_tickets' value moment at ~2.5x impl cost; a new game mode violates the D28 launch scope gate"
rush_hour_rescue,Rush-hour rescue: a double-length (or two back-to-back) ad buys a DEEP rewind several decisions back,deep rewind (up to 5 decision ticks back vs 1 for standard),failure sheet on levels flagged hard (attempt >=3),"attempt >=3; standard rewind options exhausted this session",1/day,12h,3,3,3,3,3,"medium: same client-side grant as rewind_failure with larger reward","medium: stacked ad length is exactly the fatigue pattern punished in comps (Arrows 'ad every other level' backlash; Bus Traffic Fever 3.72 stars - brief, verified 2026-07-31)",2,"n/a at launch; standard 5 AdTracker calls if built",AdMob rewarded (Unity 11.3.0),"P2: only test if rewind_failure opt-in is high AND session-length data shows tolerance; never two ads back-to-back without a confirm step"
cosmetic_sampling_booth,Station sampling booth: wear a ticket-catalog cosmetic for one day via ad,1-day rental of a ticket-catalog cosmetic,shop/cosmetic detail screen,"cosmetic not owned",1/day,24h,2,4,1,1,3,"low","low",3,n/a (cut),AdMob rewarded (Unity 11.3.0),"Cut: ticket cosmetics are already earnable; sampling undermines the economy's ONLY sink class; theme_rental already covers try-before-buy for paid items"
delivery_crate_drop,Mystery supply crate appears at a random station; watch an ad to crack it open for a random prize,random 10-100 tickets or cosmetic shard,between-levels map moment,"level 6+",2/day,6h,2,4,2,3,3,"low","high: random-reward optics contradict the locked positioning 'no loot boxes' and invite Families/policy scrutiny (brief: store art must not read child-directed; audience 13+)",2,n/a (cut),AdMob rewarded (Unity 11.3.0),"Cut: revenue does not justify torching the fairness positioning that anchors the whole store listing"
commuter_request_board,Commuter request board: side-quests like 'route 3 orange cats through Junction B'; an ad refreshes the board or doubles a completed request's payout,board refresh OR 2x request payout (requests pay 20-40),map-screen board; ad button on refresh/claim,"level 10+; 1 refresh + 1 doubler per day",2/day (1 refresh + 1 doubler),12h,3,5,1,2,4,"low: quest completion validated by sim command log","low",4,"n/a at launch; standard 5 AdTracker calls if built",AdMob rewarded (Unity 11.3.0),"P2: quest scaffolding is real scope; pairs naturally with Week 5 District Cup - evaluate at the D35 gate"
weekend_free_theme_pass,One ad on Friday unlocks both premium themes for the whole weekend,Sakura + Neon themes active Fri 18:00 - Sun 24:00,weekly IAM offer on Friday,"themes not owned; no all_access",1/week,7d,4,3,1,1,2,"low","low",2,n/a (cut),AdMob rewarded (Unity 11.3.0),"Cut: one impression (~$0.01) cannibalizes cm_theme_sakura/cm_theme_neon $2.99 and drains cm_all_access $6.99 value; theme_rental's 3-level taste converts without gifting the weekend"
ad_daily_hint,Daily Line hint: an ad reveals the first correct switch state (solver-generated) on today's daily,1 hint (first correct switch highlighted),Daily Line screen after 2 failed attempts,"daily unlocked (post L7); 2+ failed attempts today",1/day,24h,3,3,1,2,3,"low","low",3,"n/a at launch; standard 5 AdTracker calls if built",AdMob rewarded (Unity 11.3.0),"P2: build only if Daily Line completion <45% in Sep data; campaign levels get NO hints - 'every level solvable free' stands on design, and hints would mask level-quality problems during tuning"
event_entry_booster,District Cup booster: an ad grants one extra scored attempt (or +10% score cap) during the weekly event,1 extra event attempt,event screen during weekly District Cup (from Week 5 ~Sep 21 per brief),"event live; joined event; under event-day cap",2/event-day,4h,3,4,1,2,2,"medium: async score event - extra attempts must be logged in the command-log replay for leaderboard sanity","low",3,"n/a at launch; standard 5 AdTracker calls if built",AdMob rewarded (Unity 11.3.0),"P2: rides the event scaffolding, so cheap - but ships ONLY if District Cup itself passes the D35 go/no-go"
replay_ticket_doubler,Double the (already flat-rate) replay payout on completed levels via ad,+10 tickets per doubled replay,results screen after a replay win,"replay of a completed level",3/day,none,2,3,1,2,1,"low","low",2,n/a (cut),AdMob rewarded (Unity 11.3.0),"Cut: monetizes grinding and breaks the replay anti-inflation control (flat 10, cap 5/day - see economy_sources_and_sinks.csv); double_tickets already owns the 'ad doubles payout' moment"
poster_wall_gallery,Poster-wall gallery: every rewarded ad watched hangs a stylized poster memento on your home-station wall (collection meta OVER existing placements - not a new ad surface),collectible poster + the underlying placement's normal reward,passive: any rewarded_ad_completed adds a poster; gallery viewable from home station,"any rewarded placement completion",none extra (inherits underlying placement caps),n/a,2,5,1,2,4,"low: no additional reward value to farm","low",5,"n/a at launch; inherits existing placements' AdTracker calls if built","none extra (meta-layer over AdMob rewarded)","P2: strongest pure Catvertising narrative ('ads become collectible decor') and great Devpost demo material; prototype in a September update only if a build week frees up - lifts opt-in rather than adding impressions"
