sku_id,store_product_id,name,type,us_price,regional_pricing_note,rc_entitlement,rc_offering,package_type,placement_context,contents,player_value_prop,first_shown,repeat_purchase,purchase_limit,audience_segment,impl_complexity,policy_notes,experiment_priority,award_relevance,launch_priority
cm_all_access,cm_all_access,All Access (Complete Edition),non_consumable,$6.99,"Play price template auto-converts from $6.99 USD; keep .99 endings; accept Play's lowered IN/BR/ID tiers; never manually price US below $6.99 outside PW01",all_access,"default (current); also packaged in shop and bonus_district",custom:all_access,"post_level_5 (RC Paywall v2) + bonus_district lock + shop","Night Harbor bonus district (10 levels) + Sakura theme + Neon theme + extra daily free rewind (2/day total vs 1/day base) + permanent removal of all non-rewarded ad surfaces + gold conductor badge","One purchase, the whole game forever - no subscription, no energy, nothing held back","Celebratory dismissible paywall after first Level 5 win; never after a failure",no,1,"all non-payers after L5",M,"Play one-time promo codes verified working for one-time in-app products (2026-07-31) - this is the judge-access path; paywall must list contents explicitly per Play policy; raised because (a) downside is bounded (~$40 net base-case) with a 28.6% conversion-loss cushion, (b) $4.99 breaks the ladder — the everything-tier would price below its own two themes ($5.98) and tie cm_rewind_20, the decoy-confusion grounds on which the theme bundle was cut, and (c) the verified $7.26 casual D90 ARPPU shape supports a ~$7 completion price. The Grand-shortlist revenue argument is immaterial at our scale.","PW01/E07 price + PW02/E06 timing + PW03/E12 framing (top of queue)","HAMM + Grand Prize (revenue) + Best Game monetization fit",P0
cm_supporter_pack,cm_supporter_pack,Supporter Pack,non_consumable,$9.99,"Play template auto-convert; premium tier intentionally never discounted anywhere","supporter + all_access (product attached to BOTH entitlements)",shop only,custom:supporter,"shop dedicated card; never appears in any interrupt or failure flow (brief-locked)","Everything in All Access + exclusive Founder livery + name-a-cat cameo (local rename shown on one commuter) + supporter badge","Back a solo dev and own the founder edition","Shop tab only, from first shop visit",no,1,"fans and completionists incl. existing all_access owners",M,"No donation framing - Play requires deliverable digital content; shop card switches to 'you own All Access - this adds Founder cosmetics' state to prevent double-sell complaints; cameo name stays local-only (no UGC moderation surface)",PW06/E08 shop visibility,"#BuildInPublic story + HAMM packaging depth",P1
cm_theme_sakura,cm_theme_sakura,Sakura Line Theme,non_consumable,$2.99,Play template auto-convert from $2.99 USD,"theme_sakura (also granted by cm_all_access and cm_supporter_pack)","theme_preview + shop",custom:theme_sakura,"theme_preview live preview from wardrobe/map + shop","Full Sakura visual theme: stations, tracks, trains, UI accents; color+symbol readability rules unchanged (colorblind-safe)","Ride the blossom line - pure cosmetics, zero gameplay change","Tapping the locked theme applies a live preview with buy or 3-level rewarded rental side by side",no,1,"cosmetics-motivated browsers",S,"Cosmetic only; theme_rental rewarded rental (1/theme/day) must honor the full 3 levels even if connectivity drops mid-rental","PW04 anchor role only - no theme price test (E09/E23 forbid repricing IAP themes)","Design + Catvertising (rental = an ad the player asks for)",P1
cm_theme_neon,cm_theme_neon,Neon Line Theme,non_consumable,$2.99,Play template auto-convert from $2.99 USD,"theme_neon (also granted by cm_all_access and cm_supporter_pack)","theme_preview + shop",custom:theme_neon,"theme_preview live preview from wardrobe/map + shop","Full Neon visual theme: night-city reskin of stations, tracks, trains, UI accents; readability rules unchanged","Run the midnight metro - pure cosmetics, zero gameplay change","Same as Sakura: live preview with buy or 3-level rewarded rental",no,1,"cosmetics-motivated browsers",S,"Cosmetic only; same rental rule as Sakura; verify neon palette passes colorblind check before ship","PW04 anchor role only - no theme price test (E09/E23 forbid repricing IAP themes)","Design + Catvertising (rental)",P1
cm_rewind_5,cm_rewind_5,Rewind 5-Pack,consumable,$1.99,Play template auto-convert from $1.99 USD,"none (consumable - durable local ledger, not an entitlement)","rewind_failure + shop",custom:rewind_5,"rewind_failure sheet (purchase row rendered LAST) + shop","5 rewinds - each jumps the level back to your last safe decision tick","Undo one wrong switch instead of replaying the level","Rewind sheet on eligible failure only (attempt >= 2 on the level AND progress >= 40% AND a safe tick exists; never on first failure; no level floor); owned/free/rewarded options always listed above purchase",yes,"none (anomaly alert at >10 packs/day/user)","engaged players failing in bands 3+",M,"Never required: every level solvable free (locked positioning); grants deduped by SHA-256 hashed transaction id in the save-file ledger",PW05 pack anchoring,"HAMM consumable flow + Catvertising (rewarded-first sheet)",P0
cm_rewind_20,cm_rewind_20,Rewind 20-Pack,consumable,$4.99,Play template auto-convert from $4.99 USD,"none (consumable - durable local ledger, not an entitlement)","rewind_failure + shop",custom:rewind_20,"rewind_failure sheet + shop","20 rewinds - 37% cheaper per rewind than the 5-pack ($0.25 vs $0.40)","Best value for players who like a safety net","Same surfaces as cm_rewind_5; 'best value' badge placement governed by PW05",yes,"none (anomaly alert at >5 packs/day/user)","repeat rewind buyers",S,"Same ledger and never-required rules as cm_rewind_5; badge copy must state the actual per-unit math",PW05 pack anchoring,"HAMM pricing ladder",P0
cm_all_access_499,cm_all_access_499,All Access $4.99 (PW01 experiment SKU),non_consumable (experiment-only),$4.99,"Play template tpl_cm_499 auto-converts from $4.99 USD; created Aug 1 (rc config D1-17) so Play propagation is never the blocker","all_access (+ theme_sakura + theme_neon attached BEFORE activation, only while PW01 runs)","ofr_core_b only - experiment-only offering, deleted after the PW01 readout",custom:all_access,"post_level_5 variant arm only, while PW01 runs","IDENTICAL to cm_all_access (Play prices are per-SKU, so a $4.99 arm needs its own SKU)","Same as cm_all_access - this row exists for the price test, not as a separate product","Never at launch: INACTIVE and out of every offering until PW01 starts; deactivated again at PW01 end",no,1,"PW01 variant arm of post_level_5 traffic while the experiment runs",S,"Experiment-only / INACTIVE at 1.0 - the D24-52 pre-submit sweep verifies cm_all_access_499 INACTIVE and the launch-day screenshot proves it was never sellable at 1.0","PW01 price test $6.99 vs $4.99 (directional; pre-registered as non-significant at our scale)","HAMM thoughtful-pricing artifact (PW01)",P1
cm_starter_pack,cm_starter_pack,Starter Pack (evaluated),bundle_cut,$2.99,n/a - not shipping,none,none,none,none,"CUT 2026-07-31: nothing coherent to bundle - no premium currency exists and themes sell better via live preview; would only have discounted content we want full-price","n/a","n/a",no,0,n/a,S,"Cut rationale: discount-anchor packs conflict with the fair-by-design positioning and add SKU noise during a trust-led launch",none,none,Cut
cm_theme_bundle,cm_theme_bundle,Theme Duo Bundle (evaluated),bundle_cut,$4.99,n/a - not shipping,none,none,none,none,"CUT 2026-07-31 (brief-locked): decoy confusion against All Access - All Access IS the bundle","n/a","n/a",no,0,n/a,S,"Cut rationale: a $4.99 two-theme bundle sits confusingly under the $6.99 everything tier and cannibalizes it",none,none,Cut
cm_tickets_pack,cm_tickets_pack,Ticket Packs (evaluated),currency_cut,$1.99-$9.99,n/a - not shipping,none,none,none,none,"CUT 2026-07-31 (brief-locked): tickets are client-side earn-only soft currency with cosmetic-only sinks; selling them creates pay-to-progress perception and server-liability for zero design benefit","n/a","n/a",no,0,n/a,M,"Cut rationale: no premium currency is a locked economy decision; selling soft currency also breaks the 'nothing gameplay-gated' promise optics",none,none,Cut
cm_streak_saver,cm_streak_saver,Streak Saver IAP (evaluated),consumable_cut,$0.99,n/a - not shipping,none,none,none,none,"CUT 2026-07-31 (brief-locked): streak saving stays rewarded/free only - monetizing loss-aversion poisons trust and contradicts the streak_risk journey copy that promises progress is safe","n/a","n/a",no,0,n/a,S,"Cut rationale: paid streak repair is the single most complained-about pattern in comp reviews; rewarded streak_saver (1/day) covers the need",none,none,Cut
cm_chapter_pack,cm_chapter_pack,District Chapter Packs (evaluated),content_cut,$1.99,n/a - not shipping,none,none,none,none,"CUT 2026-07-31 (brief-locked): districts folded into All Access; per-chapter gates fragment a 30-level campaign and multiply SKUs for pennies","n/a","n/a",no,0,n/a,M,"Cut rationale: one clean complete-edition SKU beats six micro-gates for both HAMM narrative and player trust",none,none,Cut
cm_audio_pack,cm_audio_pack,Audio Pack (evaluated),content_cut,$1.99,n/a - not shipping,none,none,none,none,"CUT 2026-07-31: bespoke audio content is outside 8-week solo scope and comps show negligible willingness-to-pay for audio-only DLC","n/a","n/a",no,0,n/a,M,"Cut rationale: production cost exceeds any plausible window revenue; base game ships one polished soundscape instead",none,none,Cut
cm_cosmetic_club,cm_cosmetic_club,Cosmetic Club Monthly (evaluated),subscription_cut,$1.99/mo,n/a - not shipping,none,none,none,none,"CUT 2026-07-31 (brief-locked): ALL subscriptions rejected for launch and the event window - no recurring content cadence a solo dev can honestly sustain in 8 weeks","n/a","n/a",no,0,n/a,L,"Cut rationale: an under-delivered subscription is a refund and review liability during judging; revisit post-event only if weekly District Cup cadence proves durable",none,none,Cut
cm_season_pass,cm_season_pass,Season Pass (evaluated),subscription_cut,$4.99/season,n/a - not shipping,none,none,none,none,"CUT 2026-07-31 (brief-locked): same recurring-content rejection as subscriptions; weekly District Cup mini-event stays free with a participation cosmetic","n/a","n/a",no,0,n/a,L,"Cut rationale: pass tracks demand daily content ops and FOMO mechanics that contradict fair-by-design positioning",none,none,Cut
