# RevenueCat + Google Play configuration runbook - Cat Metro (io.catmetro.game). v1, 31 Jul 2026. Source of truth: DECISIONS_BRIEF.md (locked 2026-07-31) + specs/revenuecat_implementation.md (offering IDs ofr_core/ofr_themes/ofr_rewind/ofr_shop and entitlement mapping are reused here verbatim).
# Row order IS execution order. Item prefixes: D1-xx = Aug 1 2026 (Day 1), D2/D3 = Aug 2-3, Dnn = day offset from Aug 1, SEP-xx = post-launch. Every P0 row must be green before the D24-26 (Aug 24-26) production submit.
# Serial wall-clock dependencies that force the Day-1 ordering: Play service-account credential propagation ~36h; Play closed-test 14-day tester clock; RevenueCat Ads public-beta approval latency is unbounded.
config_area,item,value,where_configured,depends_on,verification_step
project,D1-01 Create RevenueCat project,"Project name ""Cat Metro""; owner account sushantsrikrish@gmail.com; ONE project for the whole app (Test Store lives as a second app inside it, not a second project)",app.revenuecat.com > Projects > New project,"RevenueCat account created Aug 1 08:00 PT (Shipaton submission window opens Jul 31 08:00 PDT)",Project visible in dashboard; project ID pasted into ops/credentials.md (gitignored) and into the Devpost evidence-pack notes
plan_tier,D1-02 Confirm plan tier (Experiments + Targeting gate),"Launch on the free tier. Experiments AND Targeting are Pro/Enterprise-gated (verified 2026-07-31); Funnels (Stripe Funnel Vision P2) is also Pro. If Pro is not purchased, ALL rows in paywall_experiments.csv fall back to sequential offering swaps via Placements",RC dashboard > Project settings > Plan & billing,D1-01,"Screenshot the plan row on Aug 1 and again Sep 1; record the answer once in paywall_experiments.csv rc_mechanism column; if Pro is not active by Sep 1 the word ""Experiments"" must not appear in any Devpost claim"
app,D1-03 Add the Android app,"App display name ""Cat Metro (Android)""; package name io.catmetro.game (IMMUTABLE after the first Play upload; catmetro.io registered the same day per brief RDAP check 2026-07-31)",RC > Project settings > Apps > + New > Google Play,D1-01,"Package string is byte-identical in three places: RC app config, Unity Player Settings applicationIdentifier, Play Console app. CI preflight script diffs all three and fails the build on mismatch"
sdk_keys,D1-04 Public Android SDK key handling,"Public key goog_xxxxxxxxxxxxxxxxxxxx for io.catmetro.game. Public keys are safe on-device but are still injected at build time from env var CM_RC_PUBLIC_KEY into RevenueCatConfig.asset - never typed into a committed scene or prefab",RC > Project settings > API keys > Public app keys; consumed by Editor build script BuildPipelineCatMetro.InjectKeys(),D1-03,"Boot log prints only the 8-char key fingerprint; grep the release AAB for ""sk_"" and for the v2 secret prefix - zero hits required (release-readiness gate)"
sdk_keys,D1-05 Secret (v2) API key handling,"sk_xxxxxxxx used ONLY by the Cloudflare Worker webhook verifier and local ops scripts (charts export, refund lookups). Stored as a Wrangler secret + 1Password entry. Never in the Unity project, never in git, never in a screenshot",RC > Project settings > API keys > Secret keys; `wrangler secret put RC_SECRET_KEY`,D1-01,"`git log -S sk_ --all` returns nothing; Worker reads from env at runtime; key rotated once after the Sep 30 submission freeze"
sdk_keys,D1-06 Test Store key vs production key discipline,"Two keys, one switch. Test Store key resolves ONLY under scripting define CM_TEST_STORE (Editor + internal dev builds). Production goog_ key in every build that leaves the machine. The release build profile strips the define; there is no runtime toggle, no remote flag, no debug menu entry that can swap stores",Unity > Project Settings > Player > Scripting Define Symbols (per build profile); resolution in RevenueCatBootstrap.cs,"D1-04, D1-49","Release candidate: CM_TEST_STORE absent from the Unity build log; adb logcat boot line reads store=play_store; D24 release-readiness checklist blocks the submit on this line"
play_credentials,D1-07 Google Cloud project + Play Developer API,"Cloud project cat-metro-ops; enable Google Play Android Developer API; create service account revenuecat-validator@cat-metro-ops.iam.gserviceaccount.com; download the JSON key exactly once",console.cloud.google.com > APIs & Services > Library + IAM & Admin > Service accounts,Google Play developer account (created Aug 1 morning),API status reads Enabled; JSON key stored in 1Password only; local copy deleted after upload
play_credentials,D1-08 Grant the service account Play permissions,"Account-level invite with exactly: View app information and download bulk reports; View financial data, orders, and cancellation survey responses; Manage orders and subscriptions. The financial + orders pair is what lets RevenueCat validate purchases and observe refunds - a missing checkbox here is the classic silent failure",Play Console > Users and permissions > Invite new users,D1-07,"Permissions page screenshot filed in ops/; RC ""Service account credentials"" badge turns valid within ~36h (propagation lag verified 2026-07-31) - if still invalid at 48h, re-issue the key rather than waiting"
play_credentials,D1-09 Upload the service-account JSON to RevenueCat,Paste the JSON into the Android app's Service Account Credentials field,RC > Project settings > Apps > Cat Metro (Android) > Service Account credentials JSON,D1-08,Green ""Credentials valid"" in RC; then a license-tester purchase on the closed track lands in RC Customer History with store=play_store and no validation error
play_credentials,D1-10 Play app + first AAB upload (unblocks product creation),"Create the Play app: target audience 13+ (declare NO under-13 age group per brief Families decision); Play App Signing enabled; upload the Day-1 skeleton AAB (com.android.vending.BILLING permission, targetSdk 36, minSdk 24, IL2CPP/ARM64) to the CLOSED TEST track; invite the 12 recruited testers the same day",Play Console > Create app > Release > Testing > Closed testing,Unity 6000.3.16f1 skeleton project builds,"AAB accepted; the Monetize > Products > In-app products tab becomes usable (Play blocks product creation until a Billing-permission AAB exists); 12 tester opt-ins confirmed - this starts the mandatory 14-day clock on Aug 1 so it closes Aug 14"
products,D1-11 Create cm_all_access,"Managed product (one-time, non-consumable). US $6.99, price template tpl_cm_699. Title ""All Access (Complete Edition)"". Description lists contents explicitly per Play policy: Night Harbor bonus district (10 levels), Sakura Line theme, Neon Line theme, second daily free rewind, permanent ad-free guarantee, gold conductor badge. Status: Active",Play Console > Monetize > Products > In-app products,D1-10,"Status ACTIVE; price renders correctly in at least 2 storefronts (US + IN) in the Play preview; ID copy-pasted (never retyped) into RC at D1-18"
products,D1-12 Create cm_supporter_pack,"Managed product (one-time, non-consumable). US $9.99, template tpl_cm_999. Title ""Supporter Pack"". Description states the overlap honestly: everything in All Access plus Founder livery, name-a-cat cameo (local), supporter badge. NO donation/charity framing (Play requires deliverable digital content)",Play Console > Monetize > Products > In-app products,D1-10,ACTIVE; description passes a self-review against Play's IAP content policy; shop card renders the overlap-disclosure state for all_access owners (monetization_spec 3.11)
products,D1-13 Create cm_theme_sakura,"Managed product (one-time, non-consumable). US $2.99, template tpl_cm_299. Title ""Sakura Line Theme"". Cosmetic only - description says ""pure cosmetics, zero gameplay change""",Play Console > Monetize > Products > In-app products,D1-10,ACTIVE; purchase on a license tester equips the theme and shows Owned in shop
products,D1-14 Create cm_theme_neon,"Managed product (one-time, non-consumable). US $2.99, template tpl_cm_299. Title ""Neon Line Theme"". Same cosmetic-only description discipline as Sakura",Play Console > Monetize > Products > In-app products,D1-10,ACTIVE; neon palette passes the colorblind (color+symbol+silhouette) check before the product is switched on in ofr_themes
products,D1-15 Create cm_rewind_5,"Managed product, consumed client-side. US $1.99, template tpl_cm_199. Title ""Rewind 5-Pack"". Grants 5 rewinds. Consumption is driven by our ledger commit (Billing 8 via purchases-unity 9.7.0); RevenueCat consumes the transaction after the grant",Play Console > Monetize > Products > In-app products,D1-10,"ACTIVE; repeat-purchasable on the same license-tester account (buy twice, balance +10, two distinct txn hashes in the ledger)"
products,D1-16 Create cm_rewind_20,"Managed product, consumed client-side. US $4.99, template tpl_cm_499. Title ""Rewind 20-Pack"". Grants 20 rewinds. ""Best per rewind"" badge copy must state the true per-unit math ($0.25 vs $0.40)",Play Console > Monetize > Products > In-app products,D1-10,ACTIVE; repeat-purchasable; per-unit claim recomputed from the live localized prices in at least 2 currencies before the badge ships
products,D1-17 Create cm_all_access_499 (PW01 experiment SKU),"Managed product, US $4.99, template tpl_cm_499, contents IDENTICAL to cm_all_access (Play prices are per-SKU, so a $4.99 arm needs its own SKU). Created Aug 1 so propagation is never the blocker; left INACTIVE and out of every offering until PW01 starts; deactivated again at PW01 end",Play Console > Monetize > Products > In-app products,D1-11,"Inactive on launch day (screenshot proves it was never sellable at 1.0); at PW01 start it is attached to all_access + theme_sakura + theme_neon entitlements BEFORE activation - verify with a clean-account purchase on the variant offering"
products,D1-18 Import all products into RevenueCat,"Import the 6 launch SKUs (+ cm_all_access_499 when PW01 arms) from Play. If Play propagation lags, add the IDs manually - RC accepts a product ID before Play finishes propagating",RC > Products > + New / Import from Play,"D1-09, D1-11..D1-17","All 6 IDs listed with store=Play Store, type=one time; zero typos (IDs pasted from the Play Console list, never hand-typed)"
products,D1-19 Play price templates,"tpl_cm_199 / tpl_cm_299 / tpl_cm_499 / tpl_cm_699 / tpl_cm_999. Each SKU links to its tier so a price change is one edit. Hand-round the top-10 markets (US, IN, BR, MX, ID, PH, GB, DE, CA, AU) to local psychological points - never ship a raw conversion like INR 581.43",Play Console > Monetize > Pricing templates,D1-10,Each product page shows its template name; spot-check INR/BRL/MXN prices are round; ladder relationships (1.99 < 2.99 < 4.99 < 6.99 < 9.99) hold in every hand-rounded market or that market reverts to auto-conversion
entitlements,D1-20 Entitlement all_access,"Attached products: cm_all_access, cm_supporter_pack (+ cm_all_access_499 only while PW01 runs). This is the ONE entitlement that gates Night Harbor, the doubled daily free rewind (2/day), permanent ad-surface removal, the gold conductor badge, and the whole payer-suppression matrix",RC > Entitlements > + New entitlement,D1-18,"Clean license-tester account buys cm_supporter_pack -> all_access active (plus supporter, theme_sakura, theme_neon) with zero client-side boolean logic; release-readiness spot check"
entitlements,D1-21 Entitlement supporter,Attached product: cm_supporter_pack ONLY. Gates Founder livery + name-a-cat cameo (local) + supporter badge,RC > Entitlements > + New entitlement,D1-18,Buying cm_all_access does NOT activate supporter (negative test); buying cm_supporter_pack activates both
entitlements,D1-22 Entitlement theme_sakura,"Attached products: cm_theme_sakura, cm_all_access, cm_supporter_pack (+ cm_all_access_499 during PW01). Umbrella products are attached deliberately so game code checks exactly one entitlement per feature",RC > Entitlements > + New entitlement,D1-18,Buy cm_all_access -> theme_sakura active and the Sakura swatch shows Owned with no lock icon; ownership survives a reinstall + Restore
entitlements,D1-23 Entitlement theme_neon,"Attached products: cm_theme_neon, cm_all_access, cm_supporter_pack (+ cm_all_access_499 during PW01). Same umbrella-attach rule as sakura",RC > Entitlements > + New entitlement,D1-18,Buy cm_theme_neon alone -> theme_neon active and theme_sakura NOT active (negative test)
