journey,variant,title,body,tone_note,deep_link
daily_challenge,A,Today's Line is ready,Same map for everyone. One minute to set your score.,neutral-informative,catmetro://daily
daily_challenge,B,A fresh route just opened,Today's Daily Line takes about 60 seconds. Your streak: {streak_days} days.,personalized,catmetro://daily
daily_challenge,C,The 8:00 departs on time,One board. Every player. Sixty seconds. Show us your route.,playful-transit,catmetro://daily
streak_risk,A,Your {streak_days}-day line is still open,Complete today's route before midnight to keep the badge. Campaign progress is safe either way.,honest-no-panic,catmetro://daily
streak_risk,B,One route keeps the streak,Today's Daily Line is quick — about a minute. Your {streak_days}-day badge is waiting.,gentle,catmetro://daily
streak_risk,C,Last departure of the day,The Daily Line closes at midnight. One minute keeps your {streak_days}-day streak rolling.,playful-transit,catmetro://daily
inactivity_48h,A,Platform {last_fail_level} is calmer now,That route was retuned. Your next attempt starts with a clearer preview.,helpful-specific,catmetro://level/{last_fail_level}
inactivity_48h,B,The cats held your spot,District {district} is where you left it. A free rewind is waiting on your next run.,warm,catmetro://home
inactivity_48h,C,New tip for Level {last_fail_level},Watch the {hint_color} source first — it sets the rhythm for the whole board.,concrete-help,catmetro://level/{last_fail_level}
winback_7d,A,A new district opened,Three new routes and a free daily rewind are ready. No timer — come back when you have a minute.,zero-pressure,catmetro://home
winback_7d,B,The metro kept running,New routes were added while you were away. Your progress and cosmetics are exactly as you left them.,reassuring,catmetro://home
winback_7d,C,Your conductor cat got promoted,There's a new badge and fresh routes in {district}. One-minute sessions whenever you're ready.,warm-playful,catmetro://home
winback_14d,A,One route when you have a minute,"We added new levels and retuned the tricky ones. If Cat Metro isn't for you, no more reminders after this.",honest-final,catmetro://home
winback_14d,B,Last call from the depot,New content is live. This is our final reminder — thanks for riding with us either way.,respectful-exit,catmetro://home
winback_14d,C,The 14-day special,A free premium-theme trial is waiting on your next session. Final reminder from us.,value-led-final,catmetro://home
event_start,A,{event_name} is live,Night routes all week with an earnable conductor badge. Runs through Sunday.,informative,catmetro://event/{event_id}
event_start,B,New this week: {event_name},Three special routes and a badge for finishing them. No purchase needed.,fairness-forward,catmetro://event/{event_id}
event_start,C,The night shift begins,{event_name}: same one-thumb routes with a twist. Ends Sunday night.,playful,catmetro://event/{event_id}
event_ending,A,{event_name} ends tonight,You've finished {progress} of {total} routes. One more earns the participation livery.,progress-specific,catmetro://event/{event_id}
event_ending,B,Last night for {event_name},Your badge progress: {progress}/{total}. About two minutes to finish.,concrete,catmetro://event/{event_id}
hard_level_help,A,A route tip for Level {level_id},Watch the {hint_color} source first. Your next run includes one free rewind.,help-not-sell,catmetro://level/{level_id}
hard_level_help,B,Level {level_id} was retuned,We adjusted the preview timing based on player data. Fresh eyes and a free rewind might do it.,transparent,catmetro://level/{level_id}
hard_level_help,C,Stuck is normal here,{fail_pct}% of players need 3+ tries on Level {level_id}. Your free rewind is loaded.,normalizing,catmetro://level/{level_id}
payer_thanks,A,Your All Access is live everywhere,Themes and the bonus district are unlocked on this device. Restore works on any phone with your account.,service-not-sales,catmetro://home
payer_thanks,B,Thanks for supporting a fair game,All Access unlocked: bonus district + both themes + daily rewind. No ads will interrupt your runs.,gratitude,catmetro://home
purchase_issue,A,Your purchase didn't complete,No charge went through. If you still want All Access it's waiting in the shop — no rush.,zero-pressure,catmetro://shop
purchase_issue,B,Payment didn't finish,The store reported an incomplete purchase and you were not charged. Tap Restore if you think this is wrong.,factual-support,catmetro://restore
feedback_request,A,Help tune the next district,Three quick questions about difficulty. No rating prompt and you can skip.,honest,catmetro://feedback
feedback_request,B,You've played {levels_done} routes,That makes you exactly who we want feedback from. Three questions - 30 seconds.,earned-ask,catmetro://feedback
new_content,A,{pack_name} just arrived,New routes are live. Your daily rewind refreshed too.,informative,catmetro://home
new_content,B,Fresh tracks laid overnight,{pack_name} is ready to play. Same one-thumb rules with new twists.,playful,catmetro://home
