# SCENARIO RANGES - NOT FORECASTS. The nine scenario rows below bracket plausible outcomes for the Cat Metro live window Aug 25 - Sep 30 2026 (37 days inclusive; public 1.0 target Aug 24-28 per DECISIONS_BRIEF; RevenueCat Shipaton submission deadline Sep 30 11:45pm PDT). No row is a prediction, a target, or a commitment - treat the conservative-to-optimistic span as a planning envelope and overwrite each tier's assumptions with live RevenueCat / AdMob / Play Console data from window day 3 onward. The three leading ASSUMPTIONS rows are benchmark documentation with vintages, not scenarios; do not chart them. All money is USD. Ad revenue is PUBLISHER-NET (AdMob eCPM is already net of Google's ad-network share) so store_fee_pct is applied to IAP only. Every derived cell is recomputable by hand from the DISPLAYED (already-rounded) inputs in the SAME row using that row's formula_notes - verified 9/9 rows for both the money chain and the DAU chain. Rounding convention is HALF-UP at each displayed step (a pocket calculator reproduces these exactly; note that Python's round() uses banker's rounding and will land a cent low on iap_gross_usd for paid_500usd_base and paid_2000usd_base). Cross-refs: DECISIONS_BRIEF.md (locked 2026-07-31), monetization_catalog.csv (prices/SKUs), ad_placement_map.csv (rewarded caps), economy_sources_and_sinks.csv (tickets).
scenario,budget_usd,installs,cpi_usd,store_cvr_pct,d1_pct,d7_pct,d30_pct,avg_dau,sessions_per_dau,rewarded_optin_pct,ads_per_dau,fill_rate_pct,ecpm_blended_usd,iap_conversion_pct,arppu_usd,refund_pct,store_fee_pct,ad_revenue_usd,iap_gross_usd,iap_net_usd,total_net_usd,arpdau_usd,formula_notes
"ASSUMPTIONS A1: acquisition and store-conversion benchmarks - CPI, listing CVR, install anchors, paid-install derivation","0 / 500 / 2000",800 / 3000 / 12000 organic anchors,0.95-1.68 verified / 0.80-1.55 modeled,16.0 US avg (games below avg),see A2,see A2,see A2,see A2,see A2,see A3,see A3,see A3,see A3,see A3,see A3,see A3,15,-,-,-,-,-,"ROW TYPE = benchmark documentation, not a scenario. VERIFIED CPI BENCHMARK (Adjust 2026 vintage, per DECISIONS_BRIEF 2026-07-31): NA gaming CPI $1.68 average; casual Android global ~$0.95. MODELED CPI sits between and above those poles because a first-time solo advertiser buys at worse-than-average efficiency and a sub-$100/day budget never exits the learning phase: $500 tier = 1.40 / 1.00 / 0.80 and $2000 tier = 1.55 / 1.10 / 0.90 for conservative / base / optimistic. The $2000 tier carries a deliberate ~10% scale penalty over the $500 tier because spending 4x in the same 37 days needs a broader audience or a higher bid. PAID INSTALL DERIVATION: paid_installs = budget_usd / cpi_usd rounded to nearest install; installs = organic_anchor + paid_installs. Organic anchors are held IDENTICAL across all three budgets (800 / 3000 / 12000) and NO organic halo, k-factor, or ranking-lift uplift is credited to paid spend - deliberately conservative, and it keeps the paid delta clean and attributable. PAID COHORT QUALITY DRAG (modeled, standard direction of effect): paid installs retain and convert worse than organic - d1 x0.75, d7 x0.70, d30 x0.65, IAP conversion x0.70, rewarded opt-in x0.85, sessions/DAU x0.90. Every retention, engagement and conversion cell in the scenario rows is the INSTALL-WEIGHTED blend of the organic and paid cohorts, which is why blended d1 FALLS as budget rises (base tier: 26.0% organic-only -> 25.1% at $500 -> 23.5% at $2000). VERIFIED STORE CVR (AppTweak 2025 data): Play store-listing conversion ~16% US average with GAMES BELOW AVERAGE; modeled 9 / 13 / 18%. store_cvr_pct is diagnostic not causal here because installs are anchored - it back-solves the listing traffic each row demands: implied_store_listing_views = installs / (store_cvr_pct/100). BRIEF-LOCKED SPEND GATE: never buy installs before the D1-retention floor is confirmed, and always label paid cohorts - so paid spend is modeled as starting no earlier than ~Sep 1. BUDGET PRIORITY: $0 organic = P0 (default plan, assume this one); $500 = P1 (unlocks only after an organic creative demonstrably wins, $20-50/day micro-tests); $2000 = P2 (scale a proven creative + $300 ASO experiments)."
"ASSUMPTIONS A2: retention benchmarks (GameAnalytics 2025 data) and the DAU derivation method",-,-,-,-,22.0 median / 40.0 top-10%,4.0 median / 12.0 top-10%,0.70 median / 4.00 top-10%,derived - see method,2.4 / 3.2 / 4.1 modeled,see A3,see A3,see A3,see A3,see A3,see A3,see A3,15,-,-,-,-,-,"ROW TYPE = benchmark documentation, not a scenario. VERIFIED RETENTION BENCHMARK (GameAnalytics 2025 data, per DECISIONS_BRIEF 2026-07-31): CURRENT medians D1 ~22% / D7 ~4% / D30 ~0.7%; top-10% approximately 40% / 12% / 4%. The widely-quoted puzzle figures 31.85 / 12.18 / 5.35 are 2022 vintage and are OUTDATED - they appear nowhere in this model and must not be reintroduced. MODELED TIERS (organic cohort, before paid drag): conservative 20.0 / 3.5 / 0.60 - just under the current median, the honest default for a brand-new listing with no ASO history and no featuring; base 26.0 / 6.0 / 1.20 - above median and well below top decile, justified by 45-90s levels, instant retry under 1s, a fully offline campaign, the Daily Line habit anchor unlocking at L7, and the three OneSignal Growth journeys; optimistic 34.0 / 10.0 / 2.80 - approaching but deliberately NOT reaching the top decile. DAU DERIVATION (reproducible from each scenario row alone): retention is interpolated as a two-segment power law fitted to that row's DISPLAYED d1/d7/d30. For 1<=t<=7: r(t) = (d1_pct/100) * t^(-k1) where k1 = ln(d1_pct/d7_pct) / ln(7). For t>7: r(t) = (d7_pct/100) * (t/7)^(-k2) where k2 = ln(d7_pct/d30_pct) / ln(30/7). Install day is r(0) = 1.0. ADPI (active days per install realised INSIDE the window) = the mean over the 37 possible arrival days i of [1.0 + sum of r(t) for t = 1..(37-i)]. Installs are assumed to arrive UNIFORMLY across the 37 days - chosen deliberately because the launch-week spike that would front-load DAU is roughly cancelled by the brief-locked rule that paid spend cannot start until the D1 floor is confirmed (~Sep 1). Then avg_dau = installs * ADPI / 37, and total person-days = avg_dau * 37. Each scenario row prints its own k1, k2 and ADPI so the whole chain is checkable with a calculator. SESSIONS/DAU (modeled - no usable public benchmark): 2.4 / 3.2 / 4.1. A 45-90s level plus the Daily Line means sessions are short and repeated; this column feeds NO revenue math and exists purely as a design-health tripwire - if it drops below ~2.0 the daily habit loop is failing regardless of what revenue does. REWARDED OPT-IN AND ADS/DAU: documented in ASSUMPTIONS A3 - there is no public benchmark for either."
"ASSUMPTIONS A3: monetization benchmarks, Play fee, and the explicit no-benchmark disclosures",-,-,-,-,-,-,-,-,-,18.0 / 28.0 / 40.0 MODELED (no benchmark),0.32-1.24 MODELED (no benchmark),82 / 90 / 94 modeled,15-30 US verified / 6-14 global blended modeled,0.70 / 1.40 / 2.60 modeled,7.26 casual D90 verified / 5.15-7.15 modeled,1.2-2.0 MODELED (no benchmark),15,-,-,-,-,-,"ROW TYPE = benchmark documentation, not a scenario. VERIFIED AD BENCHMARK: US Android rewarded eCPM $15-30 (Tenjin Q2 2024 $30.25 at the high end; Appodeal Q4 2024 $9-16 at the low end); US interstitial ~$10-16 (irrelevant here - Cat Metro ships NO interstitials, banners or app-open ads). CRITICAL ADJUSTMENT: that $15-30 band is US-only, while an unpaid organic install base is overwhelmingly global and rewarded eCPM outside tier-1 is a fraction of the US rate. We therefore model an ORGANIC-MIX BLENDED eCPM of $6.50 / $9.00 / $13.00 inside a modeled $6-14 global blended band, and a PAID-COHORT eCPM of $12 / $15 / $18 for tier-1 targeted buys (US/CA/UK/AU) which sits at the low-to-mid of the verified US band. Each scenario row computes ecpm_blended_usd = organic_eCPM * (1 - paid_share) + paid_eCPM * paid_share, where paid_share = paid_installs / installs. That weights by INSTALL share and so mildly OVERWEIGHTS the paid cohort (which retains worse and therefore serves proportionally fewer impressions); the true blended eCPM is a touch lower, worth under 3% of ad revenue which is itself under 20% of total net in every row - it moves no decision, but do not quote ecpm_blended_usd as a measured figure. FILL RATE (modeled): 82 / 90 / 94% for AdMob rewarded on a global mix; the economy already carries a no-fill fallback so a miss degrades gracefully (150-ticket streak-saver path, economy_sources_and_sinks.csv). AD REVENUE IS PUBLISHER-NET: eCPM-derived revenue is already net of Google's ad-network share, so store_fee_pct is NOT applied to ad_revenue_usd. VERIFIED IAP BENCHMARK (AppsFlyer 2026): casual D90 IAP ARPU $1.34, ARPPU $7.26. WARNING - do NOT divide those two. 1.34/7.26 implies an 18.5% install-to-payer rate, an order of magnitude above any plausible casual F2P conversion, so the pair is not a same-denominator ratio and anyone deriving conversion from it will build a fantasy model. We instead anchor ARPPU to the $7.26 SHAPE - which lands almost exactly on our cm_all_access $6.99 price point - and model conversion INDEPENDENTLY at 0.70 / 1.40 / 2.60% of installs, keeping window ARPPU at or below $7.26 because our window is 37 days, not 90. ARPPU MIX (per 100 payers, prices from monetization_catalog.csv): conservative = 38 x cm_all_access $6.99 + 3 x cm_supporter_pack $9.99 + 34 x one $2.99 theme + 5 x both themes $5.98 + 14 x cm_rewind_5 $1.99 + 6 x cm_rewind_20 $4.99 = $484.95 per 100, x1.062 repeat-consumable uplift = $5.15; base = 52 / 8 / 22 / 6 / 9 / 3 = $577.94 per 100, x1.081 = $6.25; optimistic = 58 / 14 / 15 / 5 / 5 / 3 = $644.95 per 100, x1.109 = $7.15. The repeat uplift covers rewind packs being consumables with repeat purchase allowed, plus all_access owners buying a rewind pack later. PLAY FEE: store_fee_pct = 15 in every row - the verified effective rate for US/UK/EEA since Jun 30 2026 (10% service fee on the first $1M plus the 5% Play-billing fee). NO CREDIBLE PUBLIC BENCHMARK EXISTS for (a) puzzle-genre ARPDAU, (b) rewarded-ad opt-in as a percentage of DAU, or (c) mobile-game IAP refund rate. We searched and found none, so rewarded_optin_pct 18/28/40, ads-per-opting-user 1.8/2.4/3.1, and refund_pct 2.0/1.5/1.2 are MODELED ASSUMPTIONS labelled as such, NOT benchmarks - replace all three with live AdMob and Play Console figures by ~Sep 3 (window day 10). ads_per_dau = (rewarded_optin_pct/100) * ads_per_opting_user. Placement caps in ad_placement_map.csv permit a theoretical ~12 rewarded views/day (rewind_failure 5 + double_tickets 3 + daily_gift_double 1 + streak_saver 1 + theme_rental 2), so even the optimistic 3.1 sits far inside cap - OPT-IN RATE, NOT CAP, is the binding constraint, which is exactly the Catvertising thesis. SHORTLIST NOTE: the Shipaton Grand Prize shortlist is TOTAL REVENUE REPORTED IN REVENUECAT during the window, so iap_gross_usd / iap_net_usd are the safest proxy for that figure; RevenueCat Ads is a public-beta TRACKING layer over AdMob and must not be assumed to contribute to it."
organic_0usd_conservative,0,800,0.00,9.0,20.0,3.5,0.60,37,2.4,18.0,0.32,82,6.50,0.70,5.15,2.0,15,2.33,28.84,24.02,26.35,0.0192,"P0 DEFAULT PLAN, floor case. INSTALLS: 800 = organic anchor, no paid component, cpi_usd = 0.00 (n/a). Implied store-listing views = 800 / 0.09 = 8889 over 37 days, about 240/day - reachable from #BuildInPublic devlog traffic and organic search alone with no featuring. RETENTION -> DAU: k1 = ln(20.0/3.5)/ln(7) = 0.896; k2 = ln(3.5/0.60)/ln(30/7) = 1.212; ADPI = 1.69 active days per install inside the window. avg_dau = 800 x 1.69 / 37 = 37. Person-days = 37 x 37 = 1369. ADS: ads_per_dau = (18.0/100) x 1.8 ads per opting user = 0.32. AD REVENUE = person-days x ads_per_dau x fill x eCPM/1000 = 1369 x 0.32 x 0.82 x (6.50/1000) = $2.33, publisher-net, no store fee applied. IAP: payers = 800 x 0.0070 = 5.6. IAP GROSS = 800 x 0.0070 x $5.15 = $28.84. IAP NET = 28.84 x (1 - 0.020 refund) x (1 - 0.15 Play fee) = $24.02. TOTAL NET = 2.33 + 24.02 = $26.35. ARPDAU = 26.35 / 1369 = $0.0192. READ THIS ROW HONESTLY: at ~6 payers, a single purchase is ~18% of window IAP - this is statistical noise, not a plan. It still clears the Shipaton eligibility bar (at least one real RevenueCat purchase inside the window) but wins no category. TRIPWIRE: if measured D1 is under 20% or IAP conversion under 0.70% by Sep 1 (window day 8), freeze all growth work and fix the L1-L5 funnel and the post_level_5 paywall - do not buy traffic into a leaking funnel."
organic_0usd_base,0,3000,0.00,13.0,26.0,6.0,1.20,168,3.2,28.0,0.67,90,9.00,1.40,6.25,1.5,15,33.73,262.50,219.78,253.51,0.0408,"P0 DEFAULT PLAN, central case - this is the row to plan against. INSTALLS: 3000 = organic anchor, no paid, cpi_usd = 0.00 (n/a). Implied store-listing views = 3000 / 0.13 = 23077 over 37 days, about 620/day - needs the devlog audience plus steady organic discovery on a collision-free brand (no cat-themed metro puzzle exists on Play, verified 2026-07-31). RETENTION -> DAU: k1 = ln(26.0/6.0)/ln(7) = 0.754; k2 = ln(6.0/1.20)/ln(30/7) = 1.106; ADPI = 2.07. avg_dau = 3000 x 2.07 / 37 = 168. Person-days = 168 x 37 = 6216. ADS: ads_per_dau = (28.0/100) x 2.4 = 0.67. AD REVENUE = 6216 x 0.67 x 0.90 x (9.00/1000) = $33.73, publisher-net. IAP: payers = 3000 x 0.0140 = 42. IAP GROSS = 3000 x 0.0140 x $6.25 = $262.50. IAP NET = 262.50 x 0.985 x 0.85 = $219.78. TOTAL NET = 33.73 + 219.78 = $253.51. ARPDAU = 253.51 / 6216 = $0.0408. MIX READ: IAP is 87% of net and ads 13% - the rewarded-only policy is a trust and Catvertising asset, not a revenue engine, and nothing in this model justifies adding an interstitial. CALIBRATION: 2025 Shipaton category awards were won at 1k-13k users and $1k-2k revenue, so this row lands short of a category win on revenue alone and must compete on craft (Best Game, Design) and narrative (#BuildInPublic, Catvertising, OneSignal). LEVERS RANKED BY SENSITIVITY: +1pp IAP conversion is worth ~$157 net here while doubling ads_per_dau is worth ~$34 - run EXP-M01 (price) and EXP-M02 (paywall timing) before touching ad frequency."
organic_0usd_optimistic,0,12000,0.00,18.0,34.0,10.0,2.80,879,4.1,40.0,1.24,94,13.00,2.60,7.15,1.2,15,492.81,2230.80,1873.43,2366.24,0.0728,"P0 DEFAULT PLAN, upside case - requires a discovery event we cannot buy. INSTALLS: 12000 organic, cpi_usd = 0.00 (n/a). Implied store-listing views = 12000 / 0.18 = 66667 over 37 days, about 1800/day; an 18% CVR is ABOVE the ~16% US average that games normally sit below, so this row implicitly assumes a Play indie/New-and-Updated feature, a viral devlog moment, or press pickup - do not treat it as achievable by effort alone. RETENTION -> DAU: k1 = ln(34.0/10.0)/ln(7) = 0.629; k2 = ln(10.0/2.80)/ln(30/7) = 0.875; ADPI = 2.71. avg_dau = 12000 x 2.71 / 37 = 879. Person-days = 879 x 37 = 32523. ADS: ads_per_dau = (40.0/100) x 3.1 = 1.24 - still only ~10% of the ~12/day theoretical cap in ad_placement_map.csv. AD REVENUE = 32523 x 1.24 x 0.94 x (13.00/1000) = $492.81, publisher-net. IAP: payers = 12000 x 0.0260 = 312. IAP GROSS = 12000 x 0.0260 x $7.15 = $2230.80. IAP NET = 2230.80 x 0.988 x 0.85 = $1873.43. TOTAL NET = 492.81 + 1873.43 = $2366.24. ARPDAU = 2366.24 / 32523 = $0.0728. CALIBRATION: this is the only $0-budget row that reaches the 2025 category-award band (1k-13k users, $1k-2k revenue) and it does so at 12k users / ~$2.4k net. It is nowhere near the 2025 Grand winner (17k users, $30017, 1750 payers) - that was a subscription fintech app, a fundamentally different ARPPU regime, and the brief has locked NO subscriptions for this window. TREAT AS CEILING, not target."
paid_500usd_conservative,500,1157,1.40,9.0,18.5,3.2,0.54,51,2.3,17.2,0.31,82,8.20,0.64,5.15,2.0,15,3.93,38.13,31.76,35.69,0.0189,"P1 GATED SPEND, floor case - the row that argues against spending. INSTALLS: paid = 500 / 1.40 = 357; installs = 800 organic + 357 paid = 1157; paid share = 30.9%. Implied listing views = 1157 / 0.09 = 12856. BLENDED RETENTION (install-weighted, paid cohort drag d1 x0.75 / d7 x0.70 / d30 x0.65): d1 = (800 x 20.0 + 357 x 15.0) / 1157 = 18.5; d7 = (800 x 3.5 + 357 x 2.45) / 1157 = 3.2; d30 = (800 x 0.60 + 357 x 0.39) / 1157 = 0.54 - all three fall versus the organic-only row, which is the whole point. k1 = ln(18.5/3.2)/ln(7) = 0.902; k2 = ln(3.2/0.54)/ln(30/7) = 1.223; ADPI = 1.63 (down from 1.69 organic-only). avg_dau = 1157 x 1.63 / 37 = 51. Person-days = 51 x 37 = 1887. ENGAGEMENT BLEND: sessions/DAU = (800 x 2.4 + 357 x 2.16)/1157 = 2.3; rewarded opt-in = (800 x 18.0 + 357 x 15.3)/1157 = 17.2; ads_per_dau = 0.172 x 1.8 = 0.31. eCPM = 6.50 x 0.691 + 12.00 x 0.309 = $8.20. AD REVENUE = 1887 x 0.31 x 0.82 x (8.20/1000) = $3.93. IAP: conversion = (800 x 0.70 + 357 x 0.49)/1157 = 0.64%; payers = 1157 x 0.0064 = 7.4. IAP GROSS = 1157 x 0.0064 x $5.15 = $38.13. IAP NET = 38.13 x 0.98 x 0.85 = $31.76. TOTAL NET = 3.93 + 31.76 = $35.69. ARPDAU = 35.69 / 1887 = $0.0189. VERDICT: incremental net over organic_0usd_conservative = 35.69 - 26.35 = $9.34 on $500 spent - in-window ROAS 1.9%. DO NOT SPEND if the conservative retention picture is what the data shows. The brief-locked gate (no buying before the D1 floor is confirmed) exists precisely to prevent this row."
paid_500usd_base,500,3500,1.00,13.0,25.1,5.7,1.14,191,3.2,27.4,0.66,90,9.86,1.34,6.25,1.5,15,41.39,293.13,245.42,286.81,0.0406,"P1 GATED SPEND, central case. INSTALLS: paid = 500 / 1.00 = 500; installs = 3000 + 500 = 3500; paid share = 14.3%. Implied listing views = 3500 / 0.13 = 26923. BLENDED RETENTION (install-weighted with paid drag): d1 = (3000 x 26.0 + 500 x 19.5)/3500 = 25.1; d7 = (3000 x 6.0 + 500 x 4.2)/3500 = 5.7; d30 = (3000 x 1.20 + 500 x 0.78)/3500 = 1.14. k1 = ln(25.1/5.7)/ln(7) = 0.762; k2 = ln(5.7/1.14)/ln(30/7) = 1.106; ADPI = 2.02 (down from 2.07). avg_dau = 3500 x 2.02 / 37 = 191. Person-days = 191 x 37 = 7067. ENGAGEMENT: sessions/DAU = (3000 x 3.2 + 500 x 2.88)/3500 = 3.2; opt-in = (3000 x 28.0 + 500 x 23.8)/3500 = 27.4; ads_per_dau = 0.274 x 2.4 = 0.66. eCPM = 9.00 x 0.857 + 15.00 x 0.143 = $9.86. AD REVENUE = 7067 x 0.66 x 0.90 x (9.86/1000) = $41.39. IAP: conversion = (3000 x 1.40 + 500 x 0.98)/3500 = 1.34%; payers = 3500 x 0.0134 = 46.9. IAP GROSS = 3500 x 0.0134 x $6.25 = $293.13. IAP NET = 293.13 x 0.985 x 0.85 = $245.42. TOTAL NET = 41.39 + 245.42 = $286.81. ARPDAU = 286.81 / 7067 = $0.0406 (below the organic-only $0.0408 - paid dilutes per-user quality even where it grows the total). VERDICT: incremental net = 286.81 - 253.51 = $33.30 on $500 - in-window ROAS 6.7%, payback far outside the window. The $500 is therefore NOT a revenue play: it buys +500 installs and +23 avg DAU as evidence for the Grand Prize 'Growth by numbers' criterion and as a creative-testing loop for the launch video. Spend it as research with a revenue side-effect, or not at all. GATE: only unlock after an organic creative wins, at $20-50/day, per the brief."
paid_500usd_optimistic,500,12625,0.80,18.0,33.6,9.9,2.75,918,4.1,39.7,1.23,94,13.25,2.56,7.15,1.2,15,520.35,2310.88,1940.68,2461.03,0.0725,"P1 GATED SPEND, upside case - the only place small paid spend looks defensible. INSTALLS: paid = 500 / 0.80 = 625; installs = 12000 + 625 = 12625; paid share = 5.0%. Implied listing views = 12625 / 0.18 = 70139. BLENDED RETENTION: d1 = (12000 x 34.0 + 625 x 25.5)/12625 = 33.6; d7 = (12000 x 10.0 + 625 x 7.0)/12625 = 9.9; d30 = (12000 x 2.80 + 625 x 1.82)/12625 = 2.75 - the drag is small because the paid cohort is only 5% of installs. k1 = ln(33.6/9.9)/ln(7) = 0.628; k2 = ln(9.9/2.75)/ln(30/7) = 0.880; ADPI = 2.69. avg_dau = 12625 x 2.69 / 37 = 918. Person-days = 918 x 37 = 33966. ENGAGEMENT: sessions/DAU 4.1; opt-in = (12000 x 40.0 + 625 x 34.0)/12625 = 39.7; ads_per_dau = 0.397 x 3.1 = 1.23. eCPM = 13.00 x 0.950 + 18.00 x 0.050 = $13.25. AD REVENUE = 33966 x 1.23 x 0.94 x (13.25/1000) = $520.35. IAP: conversion = (12000 x 2.60 + 625 x 1.82)/12625 = 2.56%; payers = 12625 x 0.0256 = 323.2. IAP GROSS = 12625 x 0.0256 x $7.15 = $2310.88. IAP NET = 2310.88 x 0.988 x 0.85 = $1940.68. TOTAL NET = 520.35 + 1940.68 = $2461.03. ARPDAU = 2461.03 / 33966 = $0.0725. VERDICT: incremental net = 2461.03 - 2366.24 = $94.79 on $500 - in-window ROAS 19.0%, the best of any paid row and still nowhere near payback inside 37 days. It is only defensible here because a healthy organic base means paid dilutes almost nothing (paid share 5.0%) and the extra 625 installs plus creative learnings feed the growth narrative. If organic is this strong, spend the $500 on ASO experiments and video assets first."
paid_2000usd_conservative,2000,2090,1.55,9.0,16.9,2.9,0.47,89,2.3,16.3,0.29,82,9.89,0.57,5.15,2.0,15,7.74,61.35,51.10,58.84,0.0179,"P2 GATED SPEND, floor case - the worst cell in the model and it exists to be pointed at. INSTALLS: paid = 2000 / 1.55 = 1290; installs = 800 + 1290 = 2090; paid share = 61.7% - the paid cohort now OUTNUMBERS organic, so the quality drag dominates every downstream figure. Implied listing views = 2090 / 0.09 = 23222. BLENDED RETENTION: d1 = (800 x 20.0 + 1290 x 15.0)/2090 = 16.9; d7 = (800 x 3.5 + 1290 x 2.45)/2090 = 2.9; d30 = (800 x 0.60 + 1290 x 0.39)/2090 = 0.47 - blended d1 has fallen below the 22% GameAnalytics median purely through media buying. k1 = ln(16.9/2.9)/ln(7) = 0.906; k2 = ln(2.9/0.47)/ln(30/7) = 1.250; ADPI = 1.57. avg_dau = 2090 x 1.57 / 37 = 89. Person-days = 89 x 37 = 3293. ENGAGEMENT: sessions/DAU = 2.3; opt-in = (800 x 18.0 + 1290 x 15.3)/2090 = 16.3; ads_per_dau = 0.163 x 1.8 = 0.29. eCPM = 6.50 x 0.383 + 12.00 x 0.617 = $9.89 (the one metric paid actually improves, via tier-1 geo mix). AD REVENUE = 3293 x 0.29 x 0.82 x (9.89/1000) = $7.74. IAP: conversion = (800 x 0.70 + 1290 x 0.49)/2090 = 0.57%; payers = 2090 x 0.0057 = 11.9. IAP GROSS = 2090 x 0.0057 x $5.15 = $61.35. IAP NET = 61.35 x 0.98 x 0.85 = $51.10. TOTAL NET = 7.74 + 51.10 = $58.84. ARPDAU = 58.84 / 3293 = $0.0179 - the lowest ARPDAU in the model. VERDICT: incremental net = 58.84 - 26.35 = $32.49 on $2000 - in-window ROAS 1.6%. Net-of-spend the window is $1941 UNDERWATER. Worse, the blended retention printed here is what a judge or a future investor would see. HARD RULE: this row must never happen. It is the counterfactual that justifies the brief-locked gate."
