risk_id,risk,likelihood,impact,early_warning_signal,mitigation,contingency,owner,review_date
R-01,Play production-access delay (personal account: 12 testers opted in continuously 14 days then application review <=7d then first-release review up to 7d; total time-to-store 3-5 weeks - verified 2026-07-31),High,Critical,"Tester opt-ins <16 by Aug 3; any day with <12 opted-in testers during the Aug 1-15 clock; production-access application not approved within 7 days of Aug 15 filing; first-release review exceeding 5 days","Create closed track and upload first AAB Aug 1 so the 14-day clock starts Day 1; recruit 18-20 testers by Aug 2 primarily from personal network (not tester-exchange/Discord channels - flag-by-association risk; Shipaton Discord only as overflow) with 12 minimum maintained through grant; daily opt-in headcount check; file production-access application Aug 15 the day the clock completes with real tester-feedback answers; SUBMIT-ON-GRANT: submit the first production release the day access is granted (P50 ~Aug 20-21) using the current commercial-beta build with managed publishing ON and publish held - the polished 1.0 ships as an immediate update; launch Aug 24-28 best case, planning basis P50 Sep 1-2 / P80 Sep 12-16","REJECTION BRANCH - triggers the day a rejection email arrives (expected window ~Aug 20-22), not on a calendar date: keep all testers opted in continuously until GRANT (never stop at application); answer the stated reasons within 24h and re-apply the moment the trailing-14-day criterion re-satisfies; P50 re-grant ~Sep 8, launch ~Sep 13-15 (latest viable ~Sep 19 to keep 10+ revenue days before Sep 30 freeze); if refiled twice, escalate via Play developer support and re-weight award targeting toward craft-judged categories (Best Game / Design / #BuildInPublic) that need less revenue runway",Sushant,"daily 2026-08-01 to 2026-08-15, then 2026-08-22"
R-02,Fun-gate failure - core route-switching loop not voluntarily replayable,Medium,Critical,"By Aug 5: fewer than 3 of 5 testers replay unprompted; median session <3 levels; retry-after-fail rate <50%; testers describe levels as 'homework'","D7 fun gate Aug 7 with four pre-registered metrics (published in BIP post 1 before data exists: (i) >=6/12 testers open the app unprompted on a second calendar day during D5-D7 with pushes disabled; (ii) >=4/12 replay an already-won level; (iii) median session >=3 levels; (iv) quit-without-retry after failure <50%) and a named outside person confirming the tally before ADR-0007 is written; instant retry <1s, cause-first failure camera, next-wave preview already locked in design; put 2 fresh testers on the build every 2 days from Aug 3 so signal arrives before the gate; build 2 carries 2 greybox stress boards at difficulty 0.30-0.35 (data/stress_boards.json)","YELLOW (2 of 4 metrics missed) = 48h mechanic surgery + re-gate D9; RED (3+ of 4, or metric (i) alone) = execute the Plan-B runbook (PLAN_B_RUNBOOK.md). Surgery stays confined to pacing, wave density and level order within the locked 4 mechanics; the Plan-B pivot stays in the SAME Play app entry and package (com.catmetro.game) so the tester clock is preserved",Sushant,2026-08-07
R-03,AGP9/Gradle 9 build breakage from Unity or SDK version drift,Medium,High,"Unity Hub offers 6000.3.17f1+; any package upgrade pulls Gradle 9/AGP 9.0; EDM4U Force Resolve output changes unexpectedly; duplicate BillingClient classes appear in the build log","Pin Unity 6000.3.16f1 (Gradle 8.13/AGP 8.10.0) and exact SDK versions: purchases-unity 9.7.0 + paired purchases-ui-unity, OneSignal 5.3.2, Google Mobile Ads 11.3.0, EDM4U 1.2.188 (exactly one copy); commit custom Gradle templates to repo; never install Unity IAP (avoids duplicate BillingClient); zero editor/package upgrades during the event window (pins verified 2026-07-31)","Git revert to last green tag (tag every green device build); archived known-good Gradle templates and resolved-dependency lockfile; if a forced security bump breaks the build, isolate on a branch and time-box 1 day before rolling back",Sushant,2026-08-14
R-04,RevenueCat Paywalls v2 Android crashes (open GitHub issues #745/#736/#732 - verified open 2026-07-31),Medium,High,"Any closed-test crash with RevenueCatUI in the stack trace; paywall open-to-render >2s on the low-end matrix device; new issue comments reporting repros against 9.7.0","Use Paywalls v2 ONLY at the post_level_5 placement; device-test paywall open/dismiss/purchase on the full device matrix at D14 and D21; build the custom Unity (uGUI) paywall used at all other placements as a drop-in fallback for post_level_5 by Aug 14; check the 3 issues weekly","Flip post_level_5 to the custom paywall via an RC Offerings metadata flag - no store update needed; purchase logic (Offerings/Packages/Entitlements) is identical either way so only presentation changes",Sushant,"2026-08-14, then weekly"
R-05,OneSignal journey plan limits (Free = 1 journey/2 steps; Growth $19/mo = 3 journeys/6 steps; frequency capping Enterprise-only - verified 2026-07-31),Low,Medium,"Journey editor blocks a 3rd journey or a 7th step; account shows Free plan after signup; design review finds a cap we assumed OneSignal would enforce","Buy Growth plan ($19/mo) on Aug 1; locked 3-journey design fits the ceiling: (1) Daily Line + streak, (2) lapse ladder with 48h/7d/14d branches in ONE journey, (3) hard-level help; enforce frequency caps client-side and via journey design; use Time Window steps in place of quiet hours","Collapse hard-level help into an in-app message plus a tag-triggered one-off send; move streak-expiry backup fully to Unity Mobile Notifications local schedule (already the designed backup path)",Sushant,2026-08-08
R-06,RevenueCat Experiments plan gating (Pro/Enterprise only - verified 2026-07-31) blocks the $4.99 vs $6.99 all_access price test,High,Medium,"Experiments tab locked in the RC dashboard on the Day-1 check; billing page shows project below Pro plan","Verify project plan Aug 1; pre-design BOTH paths now: Experiments A/B if available, else sequential offering test (offering v1 at $4.99 Sep 1-9 vs v2 at $6.99 Sep 10-18 on identical placements, cohort-labeled)","Run the sequential offering changes + Placements path (both verified supported on current plan); write up the methodology honestly in the HAMM submission - a disciplined pricing process is itself the HAMM story",Sushant,2026-08-01
R-07,Ad fill / eCPM shortfall on a brand-new AdMob account,Medium,Medium,"AdMob app approval pending >7 days; rewarded fill rate <60% or eCPM <$5 during the first week of commercial beta (from Aug 21)","Register the AdMob account and app Aug 1 (approval lead time); rewarded-only inventory (US benchmark $15-30 per Tenjin Q2'24 but plan conservatively on the $9-16 Appodeal Q4'24 band - verified 2026-07-31); RC AdTracker on every ad event including TrackFailedToLoad so fill is measured precisely; publish app-ads.txt on catmetro.com by Aug 2","Ads are optional-by-design so revenue leans IAP; on no-fill every ad button degrades to a direct ticket/rewind grant (UX never blocks); if fill <40% by Sep 7, integrate AppLovin MAX 8.6.4 mediation (pre-approved fallback in the brief)",Sushant,2026-08-28
R-08,Level difficulty noise - solver-valid levels that are human-mistuned,High,Medium,"Per-level fail rate outside the 15-45% band; completion funnel drop >20% at any single level; 2+ testers flag the same level as unfair or confusing","Solver-validated JSON levels with par-time bands (schema v2 in level_schema.json); per-level level_started/level_failed/level_completed funnel live from the first closed build; 20 validated levels by Aug 14 leaves 10 slots for tuning against real data","Reorder via the level-order manifest; ship tuned JSON in the weekly update; point the hard-level-help journey and an in-level hint IAM at the worst offender; move any unfixable level into the bonus district (paid, optional)",Sushant,"weekly from 2026-08-08"
R-09,AI asset inconsistency (Meshy/Tripo style drift breaks the premium diorama look),Medium,Medium,"Weekly lineup screenshot shows mixed silhouettes or materials; any asset needing >2 Blender cleanup passes; playtesters confuse station types","One lighting rig + one toon shader family + fixed cream/navy/teal/orange palette (locked); reusable style prompt sheet for every generation; weekly all-assets lineup review; readability outranks beauty (locked)","Shrink asset variety and lean on the modular kit; hand-model the 3 hero assets (cat train, station, junction switch) in Blender; keep a flat-color fallback material that always reads at 720p",Sushant,"weekly from 2026-08-08"
R-10,Scope creep against an 8-week solo schedule,High,High,"Any work item without a P0/P1/P2/Cut label; a gate slipping >24h; new feature started while a P0 gate item is open","Hard cut gates D7/D14/D21/D24/D24-28/D35(+35b)/D42/D54; the brief's CUT list is enforced (no subscriptions, currency packs, season pass, chapter packs); Funnels stays P2 with a Day-35 go/no-go and zero launch-scope contact; District Cup starts Week 5 not launch","Pre-committed auto-cut order when a gate slips: (1) District Cup event, (2) second premium theme at launch, (3) bonus district moves to v1.1, (4) reduce 30->24 levels; launch date outranks all content",Sushant,"at each gate: 2026-08-07/14/21/24 (launch window closes 08-28) and 2026-09-04/11/23"
R-11,Low retention sample - decisions made on statistically noisy cohorts,High,Medium,"<100 installs by Sep 7; D1 confidence interval spans both the median (~22%) and top-10% (~40%) benchmarks; economy or pricing debate citing a <30-user cohort","Rolling 3-day cohorts; every cohort labeled organic/paid/tester; report ranges not points; benchmark against GameAnalytics 2025 medians D1~22%/D7~4%/D30~0.7% and NOT the outdated 2022 puzzle 31.85/12.18/5.35 figures (verified 2026-07-31)","Delay paid micro-tests until a D1 floor is confirmed on >=200 organic installs (budget rule already locked); lean on qualitative closed-test interviews; freeze pricing/economy changes while evidence is <100 users",Sushant,2026-09-07
R-12,Monetization trust damage undermining the 'Fair by design' positioning,Low,High,"Any store review using 'ads' or 'cash grab' negatively; paywall_dismissed followed by session_end within 60s trending up; refund rate >3% of orders","Design already carries the mitigation: no interstitials/banners/app-open ads, paywall never after first failure, rewind never required (1 free/day for all), supporter pack shop-only, caps enforced (rewind ads 2/session 5/day); 'no forced ads' stated plainly in the listing","Respond publicly within 48h, loosen the offending cap in the next update, and publish a #BuildInPublic post-mortem - transparency is on-brand and feeds the P0 $30k category rather than fighting it",Sushant,"weekly from public launch (first: 2026-08-31)"
R-13,Clone fast-follow (Meowdoku precedent: 7+ clones in ~3 months - verified 2026-07-31),Medium,Medium,"New 'cat metro'/'cat train puzzle' titles in the weekly Play search sweep; our target keyword rank drops >=5 places; our screenshots reposted under other app names","Register catmetro.com/.io/.app on Aug 1 (all unregistered per registry RDAP 2026-07-31); ship early inside the window; Daily Line seed system and 6 curated districts are slow to copy well; IP is original and owned (rules requirement anyway)","Accelerate content cadence (District Cup, weekly level drops); double down on brand + BuildInPublic community moat; Play IP complaint only for literal asset theft; never engage clones publicly",Sushant,2026-09-04
R-14,16KB page-size / device compat failure in native libs (mandatory for API 35+ since Nov 2025 - verified 2026-07-31),Low,High,"Pre-launch report native crash on API 35+ devices; zipalign -c -P 16 fails on any packaged .so; UnsatisfiedLinkError in 16KB emulator logcat","Unity 6000.3.16f1 IL2CPP/ARM64 emits 16KB-aligned output; D14 audit of every packaged .so (libil2cpp, libunity, GMA 11.3.0, Billing 8.3.0 via RC 9.7.0, OneSignal 5.3.2, EDM4U-pulled deps); dedicated 16KB emulator row in the device matrix runs at every SDK change","Bump only the offending SDK to the nearest compliant patch on an isolated branch (1-day time box); if unresolvable, drop that SDK's feature (e.g. ship without an AdTracker convenience event) rather than slip the launch",Sushant,2026-08-14
R-15,Capture/marketing underinvestment (judges may judge from text/images/video alone; #BuildInPublic $30k is P0),High,High,"No BuildInPublic post in any 7-day window; capture pipeline not producing 1080x1920 clips by Aug 14; zero submission-video drafts by Sep 15","Unity Recorder 5.1.6 pipeline (1080x1920 in-Editor) stood up by Aug 14; 3 posts/week cadence tracked on the roadmap; Sep 22-26 reserved for the <2min video (no third-party trademarks/music), 1024x1024 icon and 1179x2556 frameless screenshot","If behind at the Sep 15 check: cut one feature-week and assemble the video from existing gameplay captures + device recordings; text+images submission is valid per rules but video is treated as P0 because judges may never install",Sushant,"weekly, hard check 2026-09-15"
R-16,Judge-access failure (judges cannot reach or unlock the app from the USA),Low,Critical,"Promo-code section unavailable in Console after production goes live; a test redemption fails on a clean device; US missing from the country list in the pre-submission audit","US availability on from the first production release (rules require USA access); Play one-time codes verified to work for one-time in-app products (2026-07-31); generate 15 codes for cm_all_access after 1.0 is live; redeem-test 2 codes on a factory-reset device; step-by-step redemption guide in the Devpost text","If codes fail: temporary price drop of cm_all_access to $0.99 for the judging period with a published note, plus a full-content video walkthrough since rules allow judging from text/images/video alone",Sushant,2026-09-20
R-17,Rules changes and rules/FAQ conflicts (winners Oct 21 in rules vs Oct 22 in FAQ; more categories possible by Aug 1),Medium,Medium,"Diff against the archived 2026-07-31 rules copy shows edits; new award categories appear; RevenueCat blog/Discord announces changes","Re-fetch and diff the Official Rules on Aug 1, Aug 15, Sep 1, Sep 15 and Sep 26 (freeze); archived 2026-07-31 copy is the baseline; where rules and FAQ conflict, rules prevail (locked); award targeting re-scored at each diff","Adjust targeting at the next weekly gate; the Sep 26-30 buffer absorbs submission-format changes; if a new cheap-to-enter category appears, apply the same P0/P1/P2/Skip test used for Noise and Funnels",Sushant,"2026-08-01, 2026-08-15, 2026-09-01, 2026-09-15, 2026-09-26"
R-18,Solo-dev burnout or illness with zero staffing redundancy,Medium,Critical,"More than 2 consecutive days working past midnight; a gate missed without an explicit cut decision; 3+ days with no commit on an active task","One full rest day/week on the calendar; launch is a RANGE (Aug 24-28 = built-in 4-day buffer) with production submission Aug 24-26 ahead of the back edge; September is deliberately iterate-only; every gate has a pre-written cut list (see R-10) so decisions never require peak energy","Up to 3 sick days absorb without leaving the window (public release viable to ~Sep 19); if longer: ship minimum viable 1.0 = 30 levels + Daily Line + IAP catalog only (defer ads and District Cup), keep P0 awards, drop P1/P2",Sushant,"weekly, at every gate"
