day,date,week,phase,main_objective,engineering,design_content,art_audio,revenuecat,onesignal_ads,analytics_store,marketing_bip,deliverable,acceptance_criteria,dependencies,fallback,est_hours
1,2026-08-01,1,Vertical Slice,"Accounts live + seed build on closed track + 12 testers invited (clock starts when 12/12 opted in; target Aug 1, latest Aug 2)",Create private GitHub repo cat-metro; new Unity 6000.3.16f1 project (IL2CPP ARM64 URP Input System; minSdk 25 targetSdk 36; package com.catmetro.game); create keystore + enroll Play App Signing; build seed AAB v0.0.1,Core-loop one-pager locked against DECISIONS_BRIEF; scope the 4 launch mechanics only,Moodboard tabletop-diorama refs; lock cream/navy/teal/orange swatches,Create RevenueCat project; request RevenueCat Ads beta on dashboard Ads page (Day-1 task per brief); confirm plan tier for Experiments (Pro-gated per brief verified 2026-07-31),Create OneSignal app on Growth plan ($19/mo per brief decision); upload FCM v1 service-account JSON; create AdMob account + Android app id,Check Play account creation date first (pre-Nov-13-2023 accounts are exempt from the 12-tester/14-day rule - D-1); complete device verification via the Play Console mobile app on a physical Android device BEFORE any track publish (answer/14316361); create Play Console app Cat Metro; create closed testing track; email 12 tester invites; create Firebase project catmetro-prod,Register catmetro.com + catmetro.io (RDAP-clean per brief verified 2026-07-31); claim @CatMetroGame on X and TikTok; BIP post 1/56 announcing the 56-day Shipaton build and publicly pre-registering the D7 fun-gate bar before data exists (four metrics + YELLOW/RED fail rule; draft seeded in growth_aso_plan.md section 21),Seed AAB live on closed track + all 12 invites sent,Play accepts the AAB; >=8 of 12 invites accepted by end of day,None,If Play identity checks stall use the pre-verified personal account; backfill testers from r/playmygame the same day,9
2,2026-08-02,1,Vertical Slice,12/12 testers opted in (clock officially running latest today) + Domain skeleton green,Asmdef layout per specs/architecture.md (Domain/Application/Content/Presentation/Services/Integrations); 125 ms fixed tick loop; PCG32 seeded RNG; command log; EditMode replay-hash stability test,Paper tutorial beats L1-L3; junction and station visual grammar notes,Cat commuter silhouette studies (3 body types for colorblind-safe color+symbol+silhouette coding),Install purchases-unity 9.7.0 + EDM4U 1.2.188; verify exactly one EDM4U copy and no duplicate BillingClient (no Unity IAP installed per brief),None (OneSignal and AdMob installs sequenced D6/D10 to isolate EDM4U resolution),Confirm 12/12 opt-ins in Play Console; screenshot as clock-start evidence (clock starts when 12/12 opted in; target Aug 1; latest Aug 2),BIP post 2/56: the Loopline-to-Cat-Metro rename story with collision-research receipts,Clock-start evidence + compiling Domain with green EditMode tests,12/12 testers opted in; replay-hash test green in CI,D1 closed track live,If fewer than 12 opted in recruit 4 backups within 24h while keeping the original cohort continuous,8
3,2026-08-03,1,Vertical Slice,First playable greybox on device,Sources spawn trains; two-state junction toggle; color+symbol station sinks; queue capacity + overflow fail; snapshot interpolation at render rate; tap raycast with >=48dp targets,L1 authored in schema v2 JSON (deliverables/data/level_schema.json) and loaded through the Content importer,Greybox board tiles; station symbols circle/triangle/square,None,None,Wire Firebase Crashlytics into the dev build (crash-free evidence trail starts now),BIP post 3/56: first greybox GIF of a rerouted cat train,L1 playable in editor and on device,Win by routing 10 cats; fail by platform overflow; 60 fps on a Pixel-6a-class device,D2 Domain skeleton,If the known Unity 6 URP Android frametime regression appears drop to a minimal URP profile and log findings for the D22 perf pass,9
4,2026-08-04,1,Vertical Slice,Complete fail/retry loop with cause-first feedback,Win and fail states; cause-first failure camera pans to the overflowed platform; instant retry <1 s without scene reload; next-wave preview HUD,L2-L5 drafts; 45-90 s session-length checks; difficulty ramp notes,Overflow warning pulse VFX; win celebration pass 1,None,None,None,BIP post 4/56: clip proving sub-second retry,L1-L5 greybox loop complete,Retry tap-to-playing under 1 s measured; failure cause visible within 1.5 s of fail,D3 playable,Slip next-wave preview to D8 if timing is tight,8
5,2026-08-05,1,Vertical Slice,RevenueCat purchase working on a physical device,Harden the Android build pipeline; commit custom Gradle templates; 16 KB page-size audit of all native libs,Self-play tuning of queue sizes; wave pacing table v1,Final 3 cat body types; base train livery,Init behind feature flag; fetch Offerings; RC Test Store sandbox purchase of cm_rewind_5 ($1.99) on device; entitlement cache verified in airplane mode,None,None,BIP post 5/56: SDK-day thread with EDM4U survival notes,Sandbox purchase succeeds on device,Purchase + entitlement grant + offline cache all pass; merged manifest shows a single BillingClient,D2 RC install,If Billing 8.3.0 misbehaves pin the previous purchases-unity minor and file an issue the same day,9
6,2026-08-06,1,Vertical Slice,Vertical-slice build 2 to testers + OneSignal spike,Save v1 (versioned JSON + atomic temp-then-rename); save and analytics flush in OnApplicationPause within the 50 ms budget,Tester feedback form (6 questions including a voluntary-replay probe),SFX pass 1 (tap / arrival / overflow warn); central mixer,None (RC-to-OneSignal attribute wiring lands D19),Install OneSignal Unity 5.3.2 (custom Gradle templates + Force Resolve per brief pitfalls); test push received on 2 physical devices; Login(external_id) shared with the RC app user id,Upload build 2 to the closed track,BIP post 6/56: build-2 screenshot + tester shout-out,Build 2 (5 levels + sound) on the closed track,All 12 testers receive build 2 OTA; push lands on both test devices,D5 build pipeline,If a OneSignal Gradle conflict blocks the build move the spike to D10 and ship build 2 without it,8
7,2026-08-07,1,Vertical Slice,Fun-gate day: watch real players,Morning hotfixes; wire level_started/completed/failed readout for the gate tally,Live-watch 5 remote sessions; tally voluntary replays and player quotes,None,None,None,Pull tester session stats from Firebase,BIP post 7/56: honest fun-gate readout (gates are prime BIP content),Gate evidence pack + ADR-0007 decision log,See the D7 GATE row,D6 build 2 in testers' hands,See the D7 GATE row,6
7,2026-08-07,1,GATE,FUN GATE (D7): four pre-registered metrics + outside confirmer,Gate review only,Gate review only,None,None,None,None,None,Go/no-go ADR-0007,"Pre-registered publicly in BIP post 1 before data exists: (i) >=6/12 testers open the app unprompted on a second calendar day during D5-D7 with pushes disabled; (ii) >=4/12 replay an already-won level (level_started with attempt>1 on a completed level - excludes fail-retries by construction); (iii) median session >=3 levels; (iv) quit-without-retry after failure <50%; a named outside person confirms the tally before ADR-0007 is written",D7 playtests complete,"YELLOW (2 of 4 metrics missed) = 48h mechanic surgery + re-gate D9; RED (3+ of 4, or metric (i) alone) = execute the Plan-B runbook (PLAN_B_RUNBOOK.md)",2
8,2026-08-08,2,Level System,Solver v1 proves levels solvable,BFS solver for <=2-switch boards sharing the exact Domain step function (no parallel sim); Editor solver runner,Difficulty metric v1 (min switches + timing tightness); author L6-L8,District 1 diorama blockout under the single lighting rig,None,None,None,BIP post 8/56: solver explainer thread,Solver validates L1-L8,Solver proves L1-L8 solvable and reports min-switch counts,D2 Domain core,If beam search is needed earlier than planned borrow D9 scope,8
9,2026-08-09,2,Level System,Beam-search solver + CI validates every level,Beam search widths 1k/2.5k/5k; batch validator CLI; GitHub Action runs level validation on every content PR,Author L9-L12,District 2 blockout,None,None,None,BIP post 9/56: CI-validates-every-level clip,Content PR gate live in CI,CI fails a deliberately broken level and passes L1-L12,D8 solver v1,Run validation nightly instead of per-PR if Action minutes bite,8
