# GOOGLE PLAY LAUNCH CHECKLIST - Cat Metro (com.catmetro.game), personal Play developer account, solo dev. Locked to DECISIONS_BRIEF 2026-07-31. Public 1.0 target Aug 24-28 2026 best case (planning basis P50 Sep 1-2 / P80 Sep 12-16); production submission the day access is granted (submit-on-grant; P50 ~Aug 20-21); Shipaton submission freeze Sep 26-30. All deadlines below are INTERNAL dates set ahead of Play's own statutory dates so the 3-5 week time-to-store (verified 2026-07-31) still lands inside the event window. Every row starts Not started; move to In progress / Done / Blocked and paste the evidence link in the tracker. URLs quoted in DECISIONS_BRIEF were verified 2026-07-31; the remaining Play Help article IDs are canonical but MUST be click-confirmed during the Aug 1 Console pass and corrected in place if Google has renumbered them. Risk cross-ref: R-01 (production access), R-14 (16 KB), R-16 (judge access).
item,requirement_detail,deadline,owner,evidence_required,status,source_url
Play developer account created,"Register the personal Google Play developer account with the one-time $25 USD fee using the launch Google account. Personal (non-organisation) accounts are subject to the 12-tester / 14-day closed-testing rule - this is the account type the whole schedule assumes. Do not create an organisation account midstream; it resets verification.",2026-08-01,Sushant,"Console screenshot showing developer account ID and Active status; $25 payment receipt archived in /ops/play/",Not started,https://support.google.com/googleplay/android-developer/answer/6112435
Developer identity verification completed,"Complete Play Console identity verification: legal name, physical address, phone and government ID upload. Verification must be Verified (not Pending) before an app can be published to production, and Google can take several days - filing on Aug 1 leaves buffer ahead of the Aug 15 production-access application.",2026-08-03,Sushant,"Console > Account details screenshot showing Verification status = Verified, with date",Not started,https://support.google.com/googleplay/android-developer/answer/10788890
Payments profile and merchant account verified,"Create the Google payments profile and link a merchant account so in-app products can be sold. Without a verified merchant account the 6 IAP SKUs cannot be activated and RevenueCat cannot validate purchases. Verified 2026-07-31: Play service fee is 10% on the first $1M plus a 5% billing fee = 15% effective for us - use 15% in every revenue model.",2026-08-03,Sushant,"Console > Payments profile screenshot showing status Approved; test that the Monetize > Products page is unlocked",Not started,https://support.google.com/googleplay/android-developer/answer/9859862
Device verification via Play Console mobile app,"Complete device verification for the new personal developer account using the Play Console mobile app on a PHYSICAL Android device BEFORE any track publish (including the Day-1 closed-track upload) - new personal accounts cannot publish submissions until this is done and it is invisible from the web Console (verified via support answer/14316361).",2026-08-01,Sushant,"Play Console mobile app screenshot showing the account's device verification complete, dated before the first closed-track publish",Not started,https://support.google.com/googleplay/android-developer/answer/14316361
App created in Play Console,"Create the app: name Cat Metro, default language en-US, type Game, category Puzzle, free with in-app purchases. Package name com.catmetro.game is IMMUTABLE after the first upload - triple-check spelling against the Unity Player Settings applicationIdentifier and the RevenueCat Android app entry before the Day 1 upload.",2026-08-01,Sushant,"Console app dashboard screenshot showing package com.catmetro.game; Unity Player Settings screenshot with the identical identifier",Not started,https://support.google.com/googleplay/android-developer/answer/9859152
AAB format and Play App Signing enrolled,"Upload an Android App Bundle (APK uploads are not accepted for new apps). Enrol in Play App Signing on first upload: Google holds the app signing key, we hold the upload key. Build config: IL2CPP, ARM64 only, targetSdk 36, minSdk 25, release build minified with R8 plus keep rules for Play Billing, Google Mobile Ads and OneSignal receivers. Back up the upload keystore and its passwords to two offline locations on Day 1 - a lost upload key costs days of support tickets mid-window.",2026-08-01,Sushant,"Console > App integrity screenshot showing Play App Signing enabled and both certificate SHA-256 fingerprints; encrypted keystore backup verified restorable on a second machine",Not started,https://support.google.com/googleplay/android-developer/answer/9842756
Closed testing: 12 testers for 14 continuous days,"Personal accounts must run a closed test with at least 12 testers who OPT IN and remain opted in continuously for 14 days before production access can be requested (verified 2026-07-31). Create the closed track and upload the first AAB on Aug 1 so the clock starts Day 1; recruit 18-20 testers, 12 minimum maintained through GRANT; check the opted-in headcount daily - the 14-day requirement is per-tester and trailing, so a dropout's days never accumulate and a drop below 12 on any day risks restarting the clock. Collect real qualitative feedback: the production-access form asks what was learned and generic answers get rejected.",2026-08-15,Sushant,"Daily screenshots of Console > Testing > Closed testing showing >=12 opted-in testers for each of Aug 1-15; the feedback log with at least 12 named testers and their written comments",Not started,https://support.google.com/googleplay/android-developer/answer/14151465
Production access application submitted,"File the production-access application the same day the 14-day closed-testing clock completes. Answer with concrete specifics: what testers said, what changed as a result, target audience, monetisation model. Review is typically <=7 days, then the first production release gets its own review of up to 7 days - both must fit before the Aug 24-28 launch window. If rejected, address the stated reason and refile within 24 hours (R-01).",2026-08-15,Sushant,"Submitted application screenshot with timestamp; the full answer text archived; Console notification of the decision",Not started,https://support.google.com/googleplay/android-developer/answer/14151465
Daily email and spam monitoring during review windows,"Reviewer questions and forms are sometimes sent by email (occasionally landing in spam) and never appear in the Console. Check the developer-account inbox AND spam folder every day during both review windows - the production-access application review and the first-release review - and answer any reviewer email the same day (R-01).",2026-08-15,Sushant,"Daily monitoring log covering both review windows; any reviewer email and its same-day reply archived",Not started,https://support.google.com/googleplay/android-developer/answer/14151465
Target API level 36,"New apps and updates must target API 36 (Android 16) from Aug 31 2026, with an extension possible to Nov 1 2026 (verified 2026-07-31). Set targetSdkVersion 36 in Unity Player Settings from the first build - do not treat this as a launch-week task. Verify the manifest merger did not downgrade it and that no plugin (EDM4U-pulled AndroidX, Google Mobile Ads 11.3.0, OneSignal 5.3.2) forces a lower target.",2026-08-14,Sushant,"bundletool or aapt2 dump badging output from the release AAB showing targetSdkVersion=36; Console upload accepted with no target-API warning",Not started,https://support.google.com/googleplay/android-developer/answer/11926878
Google Play Billing Library 8,"Billing Library 8+ is required from Aug 31 2026 (verified 2026-07-31). We satisfy this transitively: purchases-unity 9.7.0 ships Play Billing 8.3.0. Do NOT install Unity IAP - it pulls a second BillingClient and produces duplicate-class build failures (R-03). Verify the resolved Billing version in the EDM4U resolved-dependencies file and again in the AAB dependency list after every SDK change.",2026-08-14,Sushant,"EDM4U resolved dependencies file showing com.android.billingclient:billing 8.3.0 and exactly one entry; Console upload with no Billing deprecation warning; a real sandbox purchase of cm_all_access completing on the mid-tier device",Not started,https://developer.android.com/google/play/billing/deprecation-faq
In-app products created and activated,"Create and activate all 6 products with the exact IDs and US prices: cm_all_access $6.99 (non-consumable, entitlement all_access), cm_supporter_pack $9.99 (non-consumable, supporter + all_access), cm_theme_sakura $2.99 and cm_theme_neon $2.99 (non-consumable), cm_rewind_5 $1.99 and cm_rewind_20 $4.99 (consumable). Use Play price templates for regional conversion, keep .99 endings, and mirror every ID exactly into RevenueCat products, entitlements and offerings. IDs are permanent - a typo means a dead SKU.",2026-08-18,Sushant,"Console > Products screenshot showing 6 Active products with matching IDs and prices; RevenueCat dashboard screenshot showing the same 6 products attached to the 4 entitlements; one sandbox purchase per SKU logged",Not started,https://support.google.com/googleplay/android-developer/answer/1153481
16 KB page-size compliance,"16 KB page size is mandatory for apps targeting API 35+ (in force since Nov 2025, verified 2026-07-31). Audit every packaged .so - libil2cpp, libunity, libmain, Google Mobile Ads 11.3.0 natives, OneSignal 5.3.2 natives and anything EDM4U 1.2.188 resolves. Run the dedicated 16 KB emulator row of the device matrix at D14 and after every SDK or Unity change (R-14). Unity 6000.3.16f1 IL2CPP/ARM64 emits aligned output, but third-party libs are the real risk.",2026-08-14,Sushant,"zipalign -c -P 16 -v output exiting 0 with no BAD lines, archived per build; logcat from the 16 KB emulator showing a clean boot to Home with no UnsatisfiedLinkError; Console pre-launch report with no 16 KB warning",Not started,https://developer.android.com/guide/practices/page-sizes
Data safety form completed,"Complete the Data safety declaration covering every SDK we ship. Collected/shared data across AdMob, OneSignal, RevenueCat and Firebase Crashlytics: approximate location, device and other IDs (advertising ID), purchase history, app interactions, crash logs, diagnostics. Declare data-in-transit encryption, our no-account-deletion rationale, and that no data is used for the prohibited purposes. Answers must match what the app actually does - a mismatch is a policy violation, not a paperwork error.",2026-08-19,Sushant,"Console > App content > Data safety screenshot showing Completed plus the exported answer summary archived; a line-by-line mapping sheet from each declared data type to the SDK that collects it",Not started,https://support.google.com/googleplay/android-developer/answer/10787469
Data safety rows - Google AdMob,"Transcribe AdMob's published Play data-disclosure guidance into our form: advertising ID / device or other IDs (collected and shared, for advertising and analytics), approximate location, app interactions, and diagnostics. We serve rewarded ads only (no interstitials, banners or app-open ads), so declare the rewarded-ad data flows and nothing more.",2026-08-18,Sushant,"Screenshot of the AdMob disclosure page section used, annotated with each row copied into our form; our form rows highlighted for AdMob",Not started,https://developers.google.com/admob/android/play-data-disclosure
Data safety rows - OneSignal,"Declare OneSignal 5.3.2 data handling: device and other IDs (push token, OneSignal player ID), app interactions and custom events, tags, and the external_id we set via Login(). No email or phone collected. Confirm against OneSignal's personal-data documentation before submitting, and keep the tag list in sync with data/notification_copy.csv and data/onesignal_journeys.csv.",2026-08-18,Sushant,"Annotated OneSignal documentation section; the exact tag and custom-event list we send, exported from the analytics wrapper, matched against the declared data types",Not started,https://documentation.onesignal.com/docs/handling-personal-data
Data safety rows - RevenueCat,"Declare RevenueCat (purchases-unity 9.7.0) data handling: purchase history, app-user ID / device identifiers, and subscriber attributes we set ($onesignalUserId plus cohort labels). RevenueCat is a processor for purchase validation - declare it as collected for App functionality and Analytics, shared with a third party for purchase validation. Verify against RevenueCat's Play Data Safety documentation page (confirm the URL resolves; RevenueCat has reorganised its docs tree before).",2026-08-18,Sushant,"Annotated RevenueCat data-safety documentation page; the list of subscriber attributes we actually set, exported from CatMetro.Integrations.RevenueCat, matched to declared rows",Not started,https://www.revenuecat.com/docs/platform-resources/data-privacy-and-compliance/google-play-data-safety
Data safety rows - crash reporting,"Declare Firebase Crashlytics: crash logs, diagnostics, device and other IDs, collected for App functionality and Diagnostics, not shared for advertising. Crash-free-rate evidence is also part of the Shipaton submission, so Crashlytics stays in the build - declare it properly rather than dropping it. Follow the Firebase Play data-disclosure guidance verbatim.",2026-08-18,Sushant,"Annotated Firebase data-disclosure page; Crashlytics dashboard screenshot showing the app reporting; our declared diagnostics rows",Not started,https://firebase.google.com/docs/android/play-data-disclosure
Privacy policy URL live,"Publish a privacy policy at https://catmetro.com/privacy covering AdMob, OneSignal, RevenueCat and Crashlytics, the advertising ID, children's-data position (13+, not Families), data retention, and the support contact. The URL must be live, publicly reachable without a login, and identical in the store listing and in-app Settings. Register catmetro.com on Aug 1 (RDAP-clean as of 2026-07-31) so the page exists well before the Data safety form is filed.",2026-08-08,Sushant,"Live URL returning 200 from a clean browser session; Console store-listing field populated with the same URL; in-app Settings link tested on device",Not started,https://support.google.com/googleplay/android-developer/answer/9888076
Ads declaration and advertising ID,"Declare Contains ads = Yes (we serve rewarded AdMob ads) and add the AD_ID permission declaration in the manifest plus the App content > Advertising ID section. Our ads are rewarded/opt-in only - no interstitials, banners or app-open ads at launch - and cm_all_access removes all non-rewarded ad surfaces permanently, which must be described accurately on the store listing. The Contains ads badge appears publicly, so the listing copy must set the expectation ('ads only when you ask for them').",2026-08-19,Sushant,"Console > App content > Ads screenshot showing the declaration; manifest excerpt showing com.google.android.gms.permission.AD_ID; store-listing copy referencing rewarded-only ads",Not started,https://support.google.com/googleplay/android-developer/answer/9857753
app-ads.txt published,"Publish app-ads.txt at https://catmetro.com/app-ads.txt containing the AdMob publisher line, and set the developer website in the Play listing to catmetro.com so the crawler can find it. Unauthorised-inventory status suppresses demand and depresses eCPM on a brand-new AdMob account (R-07). Confirm AdMob shows Authorised before the commercial beta on Aug 21.",2026-08-02,Sushant,"Live app-ads.txt returning 200; AdMob > App settings screenshot showing app-ads.txt status Authorised; Play listing website field set to catmetro.com",Not started,https://support.google.com/admob/answer/9363762
IARC content rating questionnaire,"Complete the IARC questionnaire honestly: no violence, no user-generated content, no user-to-user communication, no gambling or simulated gambling, digital purchases = Yes, rewarded ads present = Yes. Expected outcome ESRB Everyone / PEGI 3 with an in-app-purchases descriptor. Any listing change that alters the answers (e.g. adding leaderboards or chat) requires re-running the questionnaire.",2026-08-19,Sushant,"Console > App content > Content ratings screenshot showing the issued certificate and per-region ratings; the emailed IARC certificate archived",Not started,https://support.google.com/googleplay/android-developer/answer/9859655
Target audience 13+ and no child-appealing art,"Set target age groups to 13+ ONLY. Do not select any under-13 group - that pulls the app into the Families programme with its policy, ads-SDK and design requirements we are not built for. Play can also reject a listing whose art reads as child-directed even when 13+ is declared, so the icon, feature graphic and screenshots must show the premium tabletop-diorama look, not a cartoon-toy look (verified 2026-07-31). Have a second pair of eyes review the assets against this bar before upload.",2026-08-19,Sushant,"Console > App content > Target audience screenshot showing 13+ only and Appeal to children = No; the reviewed asset set with the reviewer's sign-off note",Not started,https://support.google.com/googleplay/android-developer/answer/9867159
Account deletion requirement - N/A rationale,"Cat Metro creates no user accounts: no sign-in, no server profile, all progress is local with a client-side ticket and rewind ledger; RevenueCat uses an anonymous app-user ID and OneSignal a device push token. Declare 'app does not offer account creation' and keep a written rationale plus an in-app data-reset control (Settings > Reset progress, which clears local save, RC anonymous ID and OneSignal tags) as good-faith evidence. If any future build adds sign-in, this row becomes a blocking web-form requirement.",2026-08-19,Sushant,"Console > App content > Data deletion screenshot showing the no-account-creation declaration; written rationale archived; on-device demo of Settings > Reset progress recorded",Not started,https://support.google.com/googleplay/android-developer/answer/13327111
