# Tickets economy (DECISIONS_BRIEF locked 2026-07-31): tickets are CLIENT-SIDE soft currency; NO premium currency; NO currency IAP (cut); sinks are cosmetic-only, nothing gameplay-gated; RC Virtual Currency NOT used at launch (revisit post-launch). daily_expected_* columns = expected tickets/day in launch week 1 for the free-casual and free-engaged profiles; simulation rows at bottom integrate to running balances. Cross-refs: ticket_earned/ticket_spent enums in analytics_event_taxonomy.csv (sink: cosmetic|saver); ad placements in ad_placement_map.csv.
item,kind(source|sink),amount,frequency_cap,daily_expected_free,daily_expected_engaged,purpose,anti_inflation_control,notes
level_first_clear,source,"20-50 by district: D1 20 / D2 25 / D3 30 / D4 35 / D5 40 / D6 50",once per level (30 launch levels),50,140,core progression payout,"one-time per level; district-scaled so early levels can't be farmed for top rates","total first-clear pool = 5x(20+25+30+35+40+50) = 1000 tickets; wk1: casual ~2 clears/day @ ~25 avg; engaged ~4.3/day @ ~33 avg (finishes campaign in ~7 days)"
perfect_clear_bonus,source,+10,once per level (pool 300),5,20,mastery incentive without grind,"one-time per level; small relative to base payout","perfect = no platform ever passes warning threshold; casual ~0.5/day; engaged ~2/day wk1"
level_replay,source,10 flat,5 paying replays/day,10,40,practice and mastery loops stay rewarding but cheap,"flat low payout regardless of district; hard cap 5/day; 0 tickets beyond cap","replay payout deliberately ~1/3 of mid-district first-clear; Daily Line replays pay 0"
daily_line_first_completion,source,100,1/day (mode unlocks after L7),40,90,daily habit anchor + streak fuel,"once per local day; seeded level identical for all players (no reroll-farming)","wk1 expectation includes pre-unlock days: casual unlocks ~D3 then ~60% completion; engaged unlocks D1 then ~90%"
daily_gift,source,"30-80 streak-scaled: 30/40/50/60/70/80 then capped",1/day,31,52,login habit; pairs with OneSignal Daily Line journey,"hard cap 80; scale resets on streak break (saver exists); claim requires app open","casual ~70% claim rate @ ~45 avg; engaged ~95% @ ~55 avg"
ad_double_tickets,source,"matches level payout (20-50)",3/day (rewarded ad),9,70,opt-in ad value exchange on wins,"cap 3/day; fresh wins only - replays excluded so the replay cap can't be doubled","see ad_placement_map.csv double_tickets (P0); casual ~0.3 ads/day; engaged ~2/day @ ~35"
ad_daily_gift_double,source,"matches today's gift (30-80)",1/day (rewarded ad),9,44,opt-in ad value exchange on the gift,"cap 1/day; doubles the capped gift only","see ad_placement_map.csv daily_gift_double (P0); casual ~20% uptake; engaged ~80%"
weekly_event_participation,source,150 + exclusive participation cosmetic,1/week (District Cup from Week 5 ~Aug 31),0,0,liveops retention spike; async score event,"weekly cadence; fixed participation amount - score buys bragging rights not tickets","0 in wk1 columns by definition; amortizes to ~21/day engaged once live"
bonus_district_first_clear,source,40 x 10 levels (pool 400),once per level; requires all_access entitlement (cm_all_access $6.99),0,0,payer content value; keeps payer economy identical in shape,"one-time pool; same flat-cap replay rules as campaign","payers only; deliberately NOT a ticket faucet advantage - 400 total is ~1 cosmetic tier"
livery_tabby_orange,sink,600,once,buys ~D5,buys ~D2,first attainable cosmetic goal (train livery),"price floor 600 = ~4 casual days so tickets stay scarce week 1","entry sink; equip via cosmetic_equipped"
livery_calico,sink,700,once,buys ~D12,buys ~D3,second livery; collection momentum,price ladder,-
cat_hat_beret,sink,750,once,buys ~D18,buys ~D4,commuter-cat cosmetic class,price ladder,"visible on cats riding trains - high want, zero gameplay effect"
station_planter_set,sink,800,once,buys ~D26,buys ~D6,station decor class,price ladder,-
base_theme_variant_midnight,sink,900,once,~D30+ aspirational,buys ~D9,recolor variant of the DEFAULT theme,"price ladder; NOT the premium themes","premium Sakura/Neon are IAP-only (cm_theme_sakura / cm_theme_neon $2.99) and NEVER ticket-purchasable - keeps IAP/soft-currency lanes clean"
conductor_pocketwatch,sink,1000,once,aspirational (post-D30),buys ~D14,prestige accessory,price ladder,-
golden_whistle_prestige,sink,1200,once,aspirational (post-D30),buys ~D20,top prestige item at launch (brief max 1200),"top of the 600-1200 band from the brief","launch catalog total = 5950 tickets"
streak_saver_ticket_fallback,sink,150,1/day; offered ONLY on rewarded-ad no-fill,~0,~5,streak insurance when the ad path fails,"primary path is the FREE rewarded ad (streak saver IAP is cut per brief); ticket path exists so no-fill never kills a streak","maps to ticket_spent sink=saver in analytics taxonomy; expected rare (fill ~90%+)"
